company_name,role,country,date,hr_name
CHW Computerhaus Würzburg GmbH a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
MINOVA Information Services GmbH a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
ososoft GmbH a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
Hirt-edv a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
Hirt-edv b,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
OPMONis a,UX Writer,Germany,11-04-2026,Hiring Manager
OPMONis b,Information Architect,Germany,11-04-2026,Hiring Manager
elio GmbH a,Documentation Lead,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg b,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg c,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg d,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg e,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
SE IT-Consulting a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
comacs a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
3Keys a,UX Writer,Germany,11-04-2026,Hiring Manager
independis information systems GmbH a,Information Architect,Germany,11-04-2026,Hiring Manager
Fieber IT ‒ IT-Dienstleister aus Würzburg a,Documentation Lead,Germany,11-04-2026,Hiring Manager
sykasoft GmbH a,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
Computer Doktor Würzburg a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
SR-Software a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
IWOS GmbH a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
Usersoft EDV GmbH a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
SYCOR GmbH a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg a,UX Writer,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg b,Information Architect,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg c,Documentation Lead,Germany,11-04-2026,Hiring Manager
ipoox presorting gmbh a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg a,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg b,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
Eirich IT-Service & Softwareentwicklung a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
Secure Cloud Services AG a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
TNKAS a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
Olyro GmbH a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
Olyro GmbH b,UX Writer,Germany,11-04-2026,Hiring Manager
Olyro GmbH c,Information Architect,Germany,11-04-2026,Hiring Manager
Michisoft a,Documentation Lead,Germany,11-04-2026,Hiring Manager
Michisoft b,Technical Product Manager,Germany,11-04-2026,Hiring Manager
Michisoft c,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
dbh Logistics IT AG a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
group24 AG a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
INTENSE AG a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
LinoPro GmbH - Zweigstelle Würzburg a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
PHONE LINE Reparatur-Center - Apple iPhone und Smartphone Reparaturen a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
e.solutions a,UX Writer,Germany,11-04-2026,Hiring Manager
e.solutions b,Information Architect,Germany,11-04-2026,Hiring Manager
evoila Ingolstadt GmbH a,Documentation Lead,Germany,11-04-2026,Hiring Manager
Softvision GmbH a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
ZERO GmbH a,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
OfficeWare Information Systems GmbH a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
IT-Service Rottenkolber a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
Ströhmer Computersysteme GmbH a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
IT Service Ingolstadt a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
WK IT a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
proreactware a,UX Writer,Germany,11-04-2026,Hiring Manager
Xetabyte GmbH a,Information Architect,Germany,11-04-2026,Hiring Manager
sepp.med gmbh a,Documentation Lead,Germany,11-04-2026,Hiring Manager
RMS Intelligents GmbH a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
Local Planet UG (haftungsbeschränkt) a,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
FA-Computer a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
"Ingolstadt - Webdesign, Onlinemarketing, EDV-Service a",Senior Technical Writer,Germany,11-04-2026,Hiring Manager
L&I IT-solutions GmbH & Co. KG - Ingolstadt a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
"UX Agency | Designagentur, UX Agentur, Werbeagentur & Softwareentwicklung aus Ingolstadt a",Documentation Engineer,Germany,11-04-2026,Hiring Manager
Aspect IT & Design GmbH a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
BSI a,UX Writer,Germany,11-04-2026,Hiring Manager
BSI b,Information Architect,Germany,11-04-2026,Hiring Manager
TEKDynamics GmbH a,Documentation Lead,Germany,11-04-2026,Hiring Manager
TAMA Systemtechnik GmbH a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
Blue Line Entertainment a,Product Documentation Manager,Germany,11-04-2026,Hiring Manager
avanito GmbH a,Lead Technical Writer,Germany,11-04-2026,Hiring Manager
Exantas Automotive GmbH a,Senior Technical Writer,Germany,11-04-2026,Hiring Manager
PCialist GbR. - Jason Plows & Müslüm Kirpac a,Technical Documentation Specialist,Germany,11-04-2026,Hiring Manager
Connected Ops GmbH a,Documentation Engineer,Germany,11-04-2026,Hiring Manager
Cluebiz Technologies GmbH a,Technical Content Strategist,Germany,11-04-2026,Hiring Manager
Cluebiz Technologies GmbH b,UX Writer,Germany,11-04-2026,Hiring Manager
CAIQ GmbH a,Information Architect,Germany,11-04-2026,Hiring Manager
totorio IT GmbH a,Documentation Lead,Germany,11-04-2026,Hiring Manager
ITmedia GmbH a,Technical Product Manager,Germany,11-04-2026,Hiring Manager
