company_name,role,country,date,hr_name
ososoft GmbH a,Android Developer,Germany,11-04-2026,Hiring Manager
Hirt-edv a,Senior Android Developer,Germany,11-04-2026,Hiring Manager
Hirt-edv b,Mobile App Developer,Germany,11-04-2026,Hiring Manager
OPMONis a,Kotlin Developer,Germany,11-04-2026,Hiring Manager
OPMONis b,Java Developer Android,Germany,11-04-2026,Hiring Manager
elio GmbH a,Android Engineer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg a,Lead Android Developer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg b,Mobile Software Engineer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg c,Android Technical Lead,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg d,Software Engineer Android,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg e,Android Developer,Germany,11-04-2026,Hiring Manager
SE IT-Consulting a,Senior Android Developer,Germany,11-04-2026,Hiring Manager
comacs a,Mobile App Developer,Germany,11-04-2026,Hiring Manager
3Keys a,Kotlin Developer,Germany,11-04-2026,Hiring Manager
independis information systems GmbH a,Java Developer Android,Germany,11-04-2026,Hiring Manager
Fieber IT ‒ IT-Dienstleister aus Würzburg a,Android Engineer,Germany,11-04-2026,Hiring Manager
sykasoft GmbH a,Mobile Software Engineer,Germany,11-04-2026,Hiring Manager
Computer Doktor Würzburg a,Android Technical Lead,Germany,11-04-2026,Hiring Manager
SR-Software a,Software Engineer Android,Germany,11-04-2026,Hiring Manager
IWOS GmbH a,Android Developer,Germany,11-04-2026,Hiring Manager
Usersoft EDV GmbH a,Senior Android Developer,Germany,11-04-2026,Hiring Manager
SYCOR GmbH a,Mobile App Developer,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg a,Kotlin Developer,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg b,Java Developer Android,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg c,Android Engineer,Germany,11-04-2026,Hiring Manager
ipoox presorting gmbh a,Lead Android Developer,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg a,Mobile Software Engineer,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg b,Android Technical Lead,Germany,11-04-2026,Hiring Manager
Eirich IT-Service & Softwareentwicklung a,Software Engineer Android,Germany,11-04-2026,Hiring Manager
Secure Cloud Services AG a,Android Developer,Germany,11-04-2026,Hiring Manager
TNKAS a,Senior Android Developer,Germany,11-04-2026,Hiring Manager
Olyro GmbH a,Mobile App Developer,Germany,11-04-2026,Hiring Manager
Olyro GmbH b,Kotlin Developer,Germany,11-04-2026,Hiring Manager
Olyro GmbH c,Java Developer Android,Germany,11-04-2026,Hiring Manager
Michisoft a,Android Engineer,Germany,11-04-2026,Hiring Manager
Michisoft b,Lead Android Developer,Germany,11-04-2026,Hiring Manager
Michisoft c,Mobile Software Engineer,Germany,11-04-2026,Hiring Manager
dbh Logistics IT AG a,Android Technical Lead,Germany,11-04-2026,Hiring Manager
group24 AG a,Software Engineer Android,Germany,11-04-2026,Hiring Manager
INTENSE AG a,Android Developer,Germany,11-04-2026,Hiring Manager
LinoPro GmbH - Zweigstelle Würzburg a,Senior Android Developer,Germany,11-04-2026,Hiring Manager
PHONE LINE Reparatur-Center - Apple iPhone und Smartphone Reparaturen a,Mobile App Developer,Germany,11-04-2026,Hiring Manager
e.solutions a,Kotlin Developer,Germany,11-04-2026,Hiring Manager
e.solutions b,Java Developer Android,Germany,11-04-2026,Hiring Manager
evoila Ingolstadt GmbH a,Android Engineer,Germany,11-04-2026,Hiring Manager
Softvision GmbH a,Lead Android Developer,Germany,11-04-2026,Hiring Manager
ZERO GmbH a,Mobile Software Engineer,Germany,11-04-2026,Hiring Manager
