company_name,role,country,date,hr_name
ososoft GmbH a,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
Hirt-edv a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
Hirt-edv b,Data Platform Lead,Germany,11-04-2026,Hiring Manager
OPMONis a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
OPMONis b,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
elio GmbH a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg b,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg c,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg d,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg e,Data Platform Lead,Germany,11-04-2026,Hiring Manager
SE IT-Consulting a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
comacs a,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
3Keys a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
independis information systems GmbH a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
Fieber IT ‒ IT-Dienstleister aus Würzburg a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
sykasoft GmbH a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
Computer Doktor Würzburg a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
SR-Software a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
IWOS GmbH a,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
Usersoft EDV GmbH a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
SYCOR GmbH a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg b,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
NetPlans Niederlassung Würzburg c,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
ipoox presorting gmbh a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
itka Systemhaus | IT-Service Würzburg b,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
Eirich IT-Service & Softwareentwicklung a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
Secure Cloud Services AG a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
TNKAS a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
Olyro GmbH a,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
Olyro GmbH b,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
Olyro GmbH c,Data Platform Lead,Germany,11-04-2026,Hiring Manager
Michisoft a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
Michisoft b,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
Michisoft c,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
dbh Logistics IT AG a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
group24 AG a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
INTENSE AG a,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
LinoPro GmbH - Zweigstelle Würzburg a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
PHONE LINE Reparatur-Center - Apple iPhone und Smartphone Reparaturen a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
e.solutions a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
e.solutions b,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
evoila Ingolstadt GmbH a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
Softvision GmbH a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
ZERO GmbH a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
OfficeWare Information Systems GmbH a,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
IT-Service Rottenkolber a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
Ströhmer Computersysteme GmbH a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
IT Service Ingolstadt a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
WK IT a,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
proreactware a,Data Engineering Lead,Germany,11-04-2026,Hiring Manager
Xetabyte GmbH a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
sepp.med gmbh a,AI Data Platform Engineer,Germany,11-04-2026,Hiring Manager
RMS Intelligents GmbH a,Head of Data Engineering,Germany,11-04-2026,Hiring Manager
Local Planet UG (haftungsbeschränkt) a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
FA-Computer a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
"Ingolstadt - Webdesign, Onlinemarketing, EDV-Service a",Principal Data Engineer,Germany,11-04-2026,Hiring Manager
L&I IT-solutions GmbH & Co. KG - Ingolstadt a,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
"UX Agency | Designagentur, UX Agentur, Werbeagentur & Softwareentwicklung aus Ingolstadt a",Data Engineering Lead,Germany,11-04-2026,Hiring Manager
Aspect IT & Design GmbH a,Analytics Platform Lead,Germany,11-04-2026,Hiring Manager
TEKDynamics GmbH a,Data Engineering Manager,Germany,11-04-2026,Hiring Manager
TAMA Systemtechnik GmbH a,Data Platform Lead,Germany,11-04-2026,Hiring Manager
Blue Line Entertainment a,Principal Data Engineer,Germany,11-04-2026,Hiring Manager
avanito GmbH a,Cloud Data Architect,Germany,11-04-2026,Hiring Manager
