company_name,role,country,date,hr_name
DSC Software AG a,Business Operations Analyst,Germany,13-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Operations Analyst,Germany,13-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,MIS Analyst,Germany,13-04-2026,Hiring Manager
MCC Software Engineering a,Data Analyst,Germany,13-04-2026,Hiring Manager
Jamit Labs GmbH a,Reporting Analyst,Germany,13-04-2026,Hiring Manager
CodeWrights GmbH a,Business Analyst,Germany,13-04-2026,Hiring Manager
CodeWrights GmbH b,Operations Executive,Germany,13-04-2026,Hiring Manager
n-komm GmbH a,Commercial Operations Executive,Germany,13-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Compliance Analyst,Germany,13-04-2026,Hiring Manager
Pharmakon Software GmbH a,Process Analyst,Germany,13-04-2026,Hiring Manager
DATEX Software GmbH a,Procurement Analyst,Germany,13-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Business Intelligence Analyst,Germany,13-04-2026,Hiring Manager
