company_name,role,country,date,hr_name
EUROCONSIL | M&A Beratung | Cengiz Altaca d,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
EUROCONSIL | M&A Beratung | Cengiz Altaca e,AR Analyst,Germany,13-04-2026,Hiring Manager
EUROCONSIL | M&A Beratung | Cengiz Altaca f,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
EUROCONSIL | M&A Beratung | Cengiz Altaca g,Collections Specialist,Germany,13-04-2026,Hiring Manager
S-Finanz Services Düsseldorf GmbH a,Billing Analyst,Germany,13-04-2026,Hiring Manager
S-Finanz Services Düsseldorf GmbH b,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics a,OTC Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics b,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics c,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics d,Accounts Executive,Germany,13-04-2026,Hiring Manager
RBB Economics e,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics f,AR Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics g,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics h,Collections Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics i,Billing Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics j,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics k,OTC Analyst,Germany,13-04-2026,Hiring Manager
RBB Economics m,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics n,Accounts Executive,Germany,13-04-2026,Hiring Manager
RBB Economics o,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
RBB Economics p,AR Analyst,Germany,13-04-2026,Hiring Manager
imperex Consulting GmbH a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
imperex Consulting GmbH b,Collections Specialist,Germany,13-04-2026,Hiring Manager
Winvest Holding a,Billing Analyst,Germany,13-04-2026,Hiring Manager
Maisenbacher diamonds wholesale GmbH a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
Maisenbacher diamonds wholesale GmbH b,OTC Analyst,Germany,13-04-2026,Hiring Manager
Maisenbacher diamonds wholesale GmbH d,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
FRANKUS Audit & Advisory GmbH a,Accounts Executive,Germany,13-04-2026,Hiring Manager
Nico Moretti Finance Consulting a,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
FinMatch AG a,AR Analyst,Germany,13-04-2026,Hiring Manager
Financial Trust Consulting GmbH a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
benten capital GmbH & Co. KG a,Collections Specialist,Germany,13-04-2026,Hiring Manager
SüdFactoring GmbH a,Billing Analyst,Germany,13-04-2026,Hiring Manager
CapGro GmbH | Financial Planning | Generationenberatung - Vermögen & Versicherung a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
Horst Klemm Finanzdienstleistungen e.K. a,OTC Analyst,Germany,13-04-2026,Hiring Manager
TGM Immobilienfinanzierung a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
TGM Immobilienfinanzierung b,Accounts Executive,Germany,13-04-2026,Hiring Manager
CAF Credit and Finance GmbH a,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
Egon Zehnder International GmbH a,AR Analyst,Germany,13-04-2026,Hiring Manager
SGV Factoring GmbH a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
ABACUS Financial Services AG a,Collections Specialist,Germany,13-04-2026,Hiring Manager
ETF4Kids GmbH a,Billing Analyst,Germany,13-04-2026,Hiring Manager
Müller Advisory Group a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
Storchfinanz KG a,OTC Analyst,Germany,13-04-2026,Hiring Manager
FragFina - Finanzberatung e,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
Christian Klose Finanzberatung a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
GNB Finance a,Accounts Executive,Germany,13-04-2026,Hiring Manager
capacura GmbH a,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
capacura GmbH b,AR Analyst,Germany,13-04-2026,Hiring Manager
WSK FinanzKanzlei GmbH a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
CS Finance & Accounting GmbH a,Collections Specialist,Germany,13-04-2026,Hiring Manager
FinanzNet Holding AG a,Billing Analyst,Germany,13-04-2026,Hiring Manager
COLOGNE PAYMENT CONSULTING a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
KERN - M&A Beratung für Unternehmensnachfolge in Köln & Bonn a,OTC Analyst,Germany,13-04-2026,Hiring Manager
Köberich Financial Lines GmbH & Co. KG a,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt b,Accounts Executive,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt c,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt d,AR Analyst,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt e,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt f,Collections Specialist,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt g,Billing Analyst,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt h,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt i,OTC Analyst,Germany,13-04-2026,Hiring Manager
LBS Köln Neumarkt j,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
antaga GmbH Wirtschaftsprüfungsgesellschaft a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
Degussa Goldhandel GmbH a,Accounts Executive,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH a,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH b,AR Analyst,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH c,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH d,Collections Specialist,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH e,Billing Analyst,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH f,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH g,OTC Analyst,Germany,13-04-2026,Hiring Manager
SIGNAL IDUNA Köln Versicherungsstrategen GmbH h,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
firmenexperten Akademie Bildungsgutschein & BAFA-Förderung a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
IHK a,Accounts Executive,Germany,13-04-2026,Hiring Manager
Maisenbacher diamonds wholesale GmbH e,Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
KölnBusiness Wirtschaftsförderung a,AR Analyst,Germany,13-04-2026,Hiring Manager
Cologne Numismatic Tyll Kroha successor UG a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
Haeger GmbH - Köln | Juwelier - Diamanten - Edelmetalle a,Collections Specialist,Germany,13-04-2026,Hiring Manager
Haeger GmbH - Köln | Juwelier - Diamanten - Edelmetalle b,Billing Analyst,Germany,13-04-2026,Hiring Manager
Finaro AG a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
ForestFinance a,OTC Analyst,Germany,13-04-2026,Hiring Manager
University of Applied Sciences for Finance a,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
FORIS AG - Prozessfinanzierung & Vorratsgesellschaften a,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
"Baugeld Spezialisten Bonn, Stefan und Christina Frisch a",Accounts Executive,Germany,13-04-2026,Hiring Manager
"Baugeld Spezialisten Bonn, Stefan und Christina Frisch b",Accounts Receivable Specialist,Germany,13-04-2026,Hiring Manager
ForestFinance Capital GmbH a,AR Analyst,Germany,13-04-2026,Hiring Manager
Investmentaktiengesellschaft für langfristige Investoren TGV a,Order to Cash Specialist,Germany,13-04-2026,Hiring Manager
PHILIPP DOTHÉE - Finanzberatung & Baufinanzierung a,Collections Specialist,Germany,13-04-2026,Hiring Manager
PHILIPP DOTHÉE - Finanzberatung & Baufinanzierung b,Billing Analyst,Germany,13-04-2026,Hiring Manager
LBS Bonn Finanzierung und Immobilien a,Credit Control Analyst,Germany,13-04-2026,Hiring Manager
LBS Bonn Finanzierung und Immobilien b,OTC Analyst,Germany,13-04-2026,Hiring Manager
LBS Bonn Finanzierung und Immobilien c,Finance Operations Analyst,Germany,13-04-2026,Hiring Manager
LBS Bonn Finanzierung und Immobilien d,Cash Application Specialist,Germany,13-04-2026,Hiring Manager
LBS Bonn Finanzierung und Immobilien e,Accounts Executive,Germany,13-04-2026,Hiring Manager
