company_name,role,country,date,hr_name
Innoface AG a,Project Manager,Germany,04-04-2026,Hiring Manager
Innoface AG b,Program Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Delivery Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,IT Project Manager,Germany,04-04-2026,Hiring Manager
arconsis a,Technical Project Manager,Germany,04-04-2026,Hiring Manager
arconsis b,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,IT Service Manager,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,PMO Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Program Delivery Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Agile Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Scrum Master,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Transformation Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Infrastructure Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Operations Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Program Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,IT Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Technical Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,IT Service Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,PMO Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Program Delivery Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Agile Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,Scrum Master,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,Transformation Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,Infrastructure Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH v,Operations Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH w,Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH x,Program Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH y,Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH z,IT Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aa,Technical Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ab,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ac,IT Service Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ad,PMO Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ae,Program Delivery Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH af,Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ag,Agile Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ah,Scrum Master,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ai,Transformation Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aj,Infrastructure Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ak,Operations Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH al,Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH am,Program Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH an,Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ao,IT Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ap,Technical Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aq,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ar,IT Service Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH as,PMO Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH at,Program Delivery Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH au,Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH av,Agile Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aw,Scrum Master,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ax,Transformation Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ay,Infrastructure Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH az,Operations Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ba,Project Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bb,Program Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bc,Delivery Manager,Germany,04-04-2026,Hiring Manager
DSC Software AG a,IT Project Manager,Germany,04-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Technical Project Manager,Germany,04-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
MCC Software Engineering a,IT Service Manager,Germany,04-04-2026,Hiring Manager
Jamit Labs GmbH a,PMO Manager,Germany,04-04-2026,Hiring Manager
CodeWrights GmbH a,Program Delivery Lead,Germany,04-04-2026,Hiring Manager
