company_name,role,country,date,hr_name
Alex Velitchko Computerhilfe a,IT Service Delivery Manager,Germany,13-04-2026,Hiring Manager
GdbR Bogner Märkl a,IT Operations Manager,Germany,13-04-2026,Hiring Manager
FERCHAU GmbH a,ITSM Manager,Germany,13-04-2026,Hiring Manager
FAVORIT.network GmbH a,Service Delivery Manager,Germany,13-04-2026,Hiring Manager
DermoScan GmbH a,Project Manager IT,Germany,13-04-2026,Hiring Manager
SanData EDV-Systemhaus GmbH a,Infrastructure Manager,Germany,13-04-2026,Hiring Manager
Computy GmbH & Co. KG a,Command Center Manager,Germany,13-04-2026,Hiring Manager
Bechtle IT-Systemhaus Würzburg a,IT Support Manager,Germany,13-04-2026,Hiring Manager
InnoBrain GmbH a,End User Computing Manager,Germany,13-04-2026,Hiring Manager
e2n a,IT Operations Lead,Germany,13-04-2026,Hiring Manager
e2n b,IT Service Delivery Manager,Germany,13-04-2026,Hiring Manager
Haase IT Solutions GmbH a,IT Operations Manager,Germany,13-04-2026,Hiring Manager
Solus Software GmbH a,ITSM Manager,Germany,13-04-2026,Hiring Manager
