company_name,role,country,date,hr_name
Tesch Straßenbau GmbH & Co. KG a,Retail Expansion Manager,Germany,13-04-2026,Hiring Manager
Energieberatung & Fördermittelberatung a,Project Manager Construction,Germany,13-04-2026,Hiring Manager
URETEK Deutschland GmbH a,Fit-Out Project Manager,Germany,13-04-2026,Hiring Manager
Vester Erdbau & Baggerarbeiten Leipzig a,Store Development Manager,Germany,13-04-2026,Hiring Manager
Vester Erdbau & Baggerarbeiten Leipzig b,Construction Project Manager,Germany,13-04-2026,Hiring Manager
Fa. Feige GmbH a,Program Manager Real Estate,Germany,13-04-2026,Hiring Manager
Fa. Feige GmbH b,Facilities Development Manager,Germany,13-04-2026,Hiring Manager
Mees & Sturm Bauunternehmung a,MEP Project Manager,Germany,13-04-2026,Hiring Manager
Ingenieurbüro Morgenstern a,Site Development Manager,Germany,13-04-2026,Hiring Manager
Ingenieurbüro Morgenstern b,Retail Projects Head,Germany,13-04-2026,Hiring Manager
3XPERTS GmbH a,Retail Expansion Manager,Germany,13-04-2026,Hiring Manager
KNOCHE + FÜLLMICH Büro für Bauwesen GbR a,Project Manager Construction,Germany,13-04-2026,Hiring Manager
KNOCHE + FÜLLMICH Büro für Bauwesen GbR b,Fit-Out Project Manager,Germany,13-04-2026,Hiring Manager
Euro Verbau GmbH a,Store Development Manager,Germany,13-04-2026,Hiring Manager
P-Bau Petzold a,Construction Project Manager,Germany,13-04-2026,Hiring Manager
SPS GmbH - Putz & Stuck a,Program Manager Real Estate,Germany,13-04-2026,Hiring Manager
GbE Grundbau Essen GmbH a,Facilities Development Manager,Germany,13-04-2026,Hiring Manager
Strassenbau-Union GmbH a,MEP Project Manager,Germany,13-04-2026,Hiring Manager
Volker Klein GmbH & Co. KG a,Site Development Manager,Germany,13-04-2026,Hiring Manager
Macha GmbH - Bautenschutz Essen a,Retail Projects Head,Germany,13-04-2026,Hiring Manager
Rabe Strassen- und Tiefbau GmbH a,Retail Expansion Manager,Germany,13-04-2026,Hiring Manager
Heinz Lütkemeier GmbH & Co.KG a,Project Manager Construction,Germany,13-04-2026,Hiring Manager
Schemel & Co. Asphalt- und Straßenbau GmbH a,Fit-Out Project Manager,Germany,13-04-2026,Hiring Manager
Quadrus Bau GmbH a,Store Development Manager,Germany,13-04-2026,Hiring Manager
Quadrus Bau GmbH b,Construction Project Manager,Germany,13-04-2026,Hiring Manager
Quadrus Bau GmbH c,Program Manager Real Estate,Germany,13-04-2026,Hiring Manager
Quadrus Bau GmbH d,Facilities Development Manager,Germany,13-04-2026,Hiring Manager
MBN Bau GmbH a,MEP Project Manager,Germany,13-04-2026,Hiring Manager
MBN Bau GmbH b,Site Development Manager,Germany,13-04-2026,Hiring Manager
Kreativ Baugesellschaft mbH - Bauunternehmen a,Retail Projects Head,Germany,13-04-2026,Hiring Manager
