company_name,role,country,date,hr_name
dataglobal GmbH a,Senior Product Manager,Germany,13-04-2026,Hiring Manager
mmmake GmbH a,Product Manager,Germany,13-04-2026,Hiring Manager
Software-Schmiede Vogler & Hauke GmbH a,Platform Product Manager,Germany,13-04-2026,Hiring Manager
Software-Schmiede Vogler & Hauke GmbH b,E-commerce Product Manager,Germany,13-04-2026,Hiring Manager
Ähdus Technology GmbH a,Growth Product Manager,Germany,13-04-2026,Hiring Manager
Ähdus Technology GmbH b,Digital Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle-Comsoft GmbH a,Product Owner,Germany,13-04-2026,Hiring Manager
ICS Software GmbH a,Marketplace Product Manager,Germany,13-04-2026,Hiring Manager
Anderl IT-Solutions a,Customer Experience Product Manager,Germany,13-04-2026,Hiring Manager
Hochwarth IT Heilbronn GmbH a,Product Strategy Manager,Germany,13-04-2026,Hiring Manager
PROXYTEC - Managed Service Provider für IT & Telefonie in Heilbronn a,Senior Product Manager,Germany,13-04-2026,Hiring Manager
4N IT-Solutions GmbH a,Product Manager,Germany,13-04-2026,Hiring Manager
Invictus IT-Systems GmbH - IT-Systemhaus Heilbronn a,Platform Product Manager,Germany,13-04-2026,Hiring Manager
Web N App Programming GmbH a,E-commerce Product Manager,Germany,13-04-2026,Hiring Manager
Zuferi Solutions a,Growth Product Manager,Germany,13-04-2026,Hiring Manager
COMPETENZ 24 | Ihr zuverlässiger IT-Partner a,Digital Product Manager,Germany,13-04-2026,Hiring Manager
STACKIT GmbH & Co. KG a,Product Owner,Germany,13-04-2026,Hiring Manager
mec-IT e.K. a,Marketplace Product Manager,Germany,13-04-2026,Hiring Manager
IT4smart GmbH a,Customer Experience Product Manager,Germany,13-04-2026,Hiring Manager
Toni Lange Computer Service - TOLCOM a,Product Strategy Manager,Germany,13-04-2026,Hiring Manager
tempmate GmbH Heilbronn a,Senior Product Manager,Germany,13-04-2026,Hiring Manager
SAB ENGINEERING Services & Software GmbH a,Product Manager,Germany,13-04-2026,Hiring Manager
heymeta GmbH a,Platform Product Manager,Germany,13-04-2026,Hiring Manager
heymeta GmbH b,E-commerce Product Manager,Germany,13-04-2026,Hiring Manager
heymeta GmbH c,Growth Product Manager,Germany,13-04-2026,Hiring Manager
heymeta GmbH d,Digital Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle PLM Deutschland a,Product Owner,Germany,13-04-2026,Hiring Manager
Engineering ITS a,Marketplace Product Manager,Germany,13-04-2026,Hiring Manager
Critalog GmbH a,Customer Experience Product Manager,Germany,13-04-2026,Hiring Manager
BTC Business Technology Consulting AG - Neckarsulm a,Product Strategy Manager,Germany,13-04-2026,Hiring Manager
imagis Filmproduktion GmbH & Co. KG | Video & Filmproduktion | Heilbronn a,Senior Product Manager,Germany,13-04-2026,Hiring Manager
All for One HR GmbH a,Product Manager,Germany,13-04-2026,Hiring Manager
GBS mbH a,Platform Product Manager,Germany,13-04-2026,Hiring Manager
AKOS Beratungs- und Reengineerings GmbH Informationssysteme a,E-commerce Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle direct GmbH a,Growth Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle direct GmbH b,Digital Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle direct GmbH c,Product Owner,Germany,13-04-2026,Hiring Manager
Bechtle direct GmbH d,Marketplace Product Manager,Germany,13-04-2026,Hiring Manager
Bechtle direct GmbH e,Customer Experience Product Manager,Germany,13-04-2026,Hiring Manager
dsb ccb solutions GmbH a,Product Strategy Manager,Germany,13-04-2026,Hiring Manager
Winkler Software a,Senior Product Manager,Germany,13-04-2026,Hiring Manager
BIT - Bach IT a,Product Manager,Germany,13-04-2026,Hiring Manager
