company_name,role,country,date,hr_name
Bechtle's IT system house Neckarsulm a,Senior Full-Stack Developer,Germany,13-04-2026,Hiring Manager
dataglobal GmbH a,Software Engineer,Germany,13-04-2026,Hiring Manager
mmmake GmbH a,Backend Developer,Germany,13-04-2026,Hiring Manager
Software-Schmiede Vogler & Hauke GmbH a,Frontend Engineer,Germany,13-04-2026,Hiring Manager
Software-Schmiede Vogler & Hauke GmbH b,Full-Stack Engineer,Germany,13-04-2026,Hiring Manager
Ähdus Technology GmbH a,Microservices Engineer,Germany,13-04-2026,Hiring Manager
Ähdus Technology GmbH b,Cloud Engineer,Germany,13-04-2026,Hiring Manager
Bechtle-Comsoft GmbH a,Senior Full-Stack Developer,Germany,13-04-2026,Hiring Manager
ICS Software GmbH a,Software Engineer,Germany,13-04-2026,Hiring Manager
Anderl IT-Solutions a,Backend Developer,Germany,13-04-2026,Hiring Manager
Hochwarth IT Heilbronn GmbH a,Frontend Engineer,Germany,13-04-2026,Hiring Manager
PROXYTEC - Managed Service Provider für IT & Telefonie in Heilbronn a,Full-Stack Engineer,Germany,13-04-2026,Hiring Manager
4N IT-Solutions GmbH a,Microservices Engineer,Germany,13-04-2026,Hiring Manager
Invictus IT-Systems GmbH - IT-Systemhaus Heilbronn a,Cloud Engineer,Germany,13-04-2026,Hiring Manager
Web N App Programming GmbH a,Senior Full-Stack Developer,Germany,13-04-2026,Hiring Manager
Zuferi Solutions a,Software Engineer,Germany,13-04-2026,Hiring Manager
COMPETENZ 24 | Ihr zuverlässiger IT-Partner a,Backend Developer,Germany,13-04-2026,Hiring Manager
STACKIT GmbH & Co. KG a,Frontend Engineer,Germany,13-04-2026,Hiring Manager
mec-IT e.K. a,Full-Stack Engineer,Germany,13-04-2026,Hiring Manager
IT4smart GmbH a,Microservices Engineer,Germany,13-04-2026,Hiring Manager
Toni Lange Computer Service - TOLCOM a,Cloud Engineer,Germany,13-04-2026,Hiring Manager
tempmate GmbH Heilbronn a,Senior Full-Stack Developer,Germany,13-04-2026,Hiring Manager
SAB ENGINEERING Services & Software GmbH a,Software Engineer,Germany,13-04-2026,Hiring Manager
heymeta GmbH a,Backend Developer,Germany,13-04-2026,Hiring Manager
heymeta GmbH b,Frontend Engineer,Germany,13-04-2026,Hiring Manager
heymeta GmbH c,Full-Stack Engineer,Germany,13-04-2026,Hiring Manager
heymeta GmbH d,Microservices Engineer,Germany,13-04-2026,Hiring Manager
Bechtle PLM Deutschland a,Cloud Engineer,Germany,13-04-2026,Hiring Manager
Engineering ITS a,Senior Full-Stack Developer,Germany,13-04-2026,Hiring Manager
Critalog GmbH a,Software Engineer,Germany,13-04-2026,Hiring Manager
BTC Business Technology Consulting AG - Neckarsulm a,Backend Developer,Germany,13-04-2026,Hiring Manager
imagis Filmproduktion GmbH & Co. KG | Video & Filmproduktion | Heilbronn a,Frontend Engineer,Germany,13-04-2026,Hiring Manager
All for One HR GmbH a,Full-Stack Engineer,Germany,13-04-2026,Hiring Manager
GBS mbH a,Microservices Engineer,Germany,13-04-2026,Hiring Manager
