company_name,role,country,date,hr_name
Mighty Engineering GmbH,Operations Head,Germany,04-04-2026,Hiring Manager
VBE BERLIN-MECHANIK GMBH,Plant Manager,Germany,04-04-2026,Hiring Manager
gbc engineers GmbH,Manufacturing Manager,Germany,04-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 01,Production Manager,Germany,04-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 02,Operations Manager Manufacturing,Germany,04-04-2026,Hiring Manager
Auto Tissue Berlin GmbH,Plastics Engineer,Germany,04-04-2026,Hiring Manager
HEXAGON Engineering GMBH,Packaging Engineer,Germany,04-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 01,Process Engineering Manager,Germany,04-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 02,Production Head,Germany,04-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 03,Industrial Operations Manager,Germany,04-04-2026,Hiring Manager
YACOUB Automation - Business Unit 01,Quality Manager Manufacturing,Germany,04-04-2026,Hiring Manager
YACOUB Automation - Business Unit 02,Plant Operations Manager,Germany,04-04-2026,Hiring Manager
Hako GmbH Niederlassung Berlin,Continuous Improvement Manager,Germany,04-04-2026,Hiring Manager
LeitOn GmbH - Leiterplatten aus Berlin,Production Planning Manager,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 01,Engineering Manager Manufacturing,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 02,Technical Operations Manager,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 03,Factory Manager,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 04,Manufacturing Excellence Manager,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 05,Production Control Manager,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 06,Process Optimization Engineer,Germany,04-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 07,Operations Head,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 01",Plant Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 02",Manufacturing Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 03",Production Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 04",Operations Manager Manufacturing,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 05",Plastics Engineer,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 06",Packaging Engineer,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 07",Process Engineering Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 08",Production Head,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 09",Industrial Operations Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 10",Quality Manager Manufacturing,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 11",Plant Operations Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 12",Continuous Improvement Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 13",Production Planning Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 14",Engineering Manager Manufacturing,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 15",Technical Operations Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 16",Factory Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 17",Manufacturing Excellence Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 18",Production Control Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 19",Process Optimization Engineer,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 20",Operations Head,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 21",Plant Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 22",Manufacturing Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 23",Production Manager,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 24",Operations Manager Manufacturing,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 25",Plastics Engineer,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 26",Packaging Engineer,Germany,04-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 27",Process Engineering Manager,Germany,04-04-2026,Hiring Manager
