company_name,role,country,date,hr_name
FACTS Computer Software House L.L.C,Growth Marketing Executive,UAE,13-04-2026,Hiring Manager
FACTS Computer Software House L.L.C - a,Digital Marketing Executive,UAE,13-04-2026,Hiring Manager
TechGropse Dubai AI Mobile App Development Company in Dubai | Hire Mobile App Developers in Dubai UAE,SEO Specialist,UAE,13-04-2026,Hiring Manager
RISTEL RISOMM IT Company | WiFi | Networking | CCTV | Fiber Optic | OTDR | Fluke | IP Phone | Smart Home | Abu Dhabi | Al Ain,Performance Marketing Executive,UAE,13-04-2026,Hiring Manager
RISTEL RISOMM IT Company | WiFi | Networking | CCTV | Fiber Optic | OTDR | Fluke | IP Phone | Smart Home | Abu Dhabi | Al Ain - a,Social Media Manager,UAE,13-04-2026,Hiring Manager
RISTEL RISOMM IT Company | WiFi | Networking | CCTV | Fiber Optic | OTDR | Fluke | IP Phone | Smart Home | Abu Dhabi | Al Ain - b,Paid Ads Specialist,UAE,13-04-2026,Hiring Manager
"Assico | Digital Marketing, Software, Mobile App, and Website Development Company in Abu Dhabi",Content Marketing Executive,UAE,13-04-2026,Hiring Manager
CENTERCUBE SOFTWARE SERVICES (CSOFT PRODUCTS),Marketing Analyst,UAE,13-04-2026,Hiring Manager
CENTERCUBE SOFTWARE SERVICES (CSOFT PRODUCTS) - a,Demand Generation Executive,UAE,13-04-2026,Hiring Manager
Omega - CST | Business Process Automation | Software Company,PPC Specialist,UAE,13-04-2026,Hiring Manager
TwigSystem IT,Inbound Marketing Executive,UAE,13-04-2026,Hiring Manager
Mobile App Development Company In Abu Dhabi - TekRevol,Marketing Coordinator,UAE,13-04-2026,Hiring Manager
MPHASIS INFORMATION TECHNOLOGIES LLC SPC,Digital Growth Specialist,UAE,13-04-2026,Hiring Manager
PLUS UAE,Marketing Executive,UAE,13-04-2026,Hiring Manager
