company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Technical Project Manager,Germany,13-04-2026,Hiring Manager
teambits a,Engineering Manager,Germany,13-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Backend Lead,Germany,13-04-2026,Hiring Manager
Future-App a,Solution Architect (Java),Germany,13-04-2026,Hiring Manager
Mulan IT Solutions a,Scrum Master,Germany,13-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Agile Project Manager,Germany,13-04-2026,Hiring Manager
IBS Consult a,Integration Lead,Germany,13-04-2026,Hiring Manager
IBS Consult b,Microservices Architect,Germany,13-04-2026,Hiring Manager
ISRA VISION GmbH a,Delivery Manager,Germany,13-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Application Architect,Germany,13-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,IT Project Manager,Germany,13-04-2026,Hiring Manager
Plan Software GmbH a,Platform Engineering Lead,Germany,13-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Technical Project Manager,Germany,13-04-2026,Hiring Manager
EUROKEY Software GmbH a,Senior Java Developer,Germany,13-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Lead Java Developer,Germany,13-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Engineering Manager,Germany,13-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Backend Lead,Germany,13-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Solution Architect (Java),Germany,13-04-2026,Hiring Manager
detacon GmbH a,Scrum Master,Germany,13-04-2026,Hiring Manager
Is Predict GmbH a,Agile Project Manager,Germany,13-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Integration Lead,Germany,13-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Microservices Architect,Germany,13-04-2026,Hiring Manager
itechx GmbH a,Delivery Manager,Germany,13-04-2026,Hiring Manager
iX-tech GmbH a,Application Architect,Germany,13-04-2026,Hiring Manager
IKU GmbH & Co. KG a,IT Project Manager,Germany,13-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Platform Engineering Lead,Germany,13-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Technical Project Manager,Germany,13-04-2026,Hiring Manager
PFPRO IT Services a,Senior Java Developer,Germany,13-04-2026,Hiring Manager
INFOSERVE GmbH a,Lead Java Developer,Germany,13-04-2026,Hiring Manager
