company_name,role,country,date,hr_name
Hochtaunus-Kliniken gGmbH - Klinik Bad Homburg b,Genomics Scientist,Germany,14-04-2026,Hiring Manager
Mediakos GmbH,Molecular Biologist,Germany,14-04-2026,Hiring Manager
Berlin-Chemie AG,Clinical Microbiologist,Germany,14-04-2026,Hiring Manager
Inceptua GmbH,Research Scientist (Life Sciences),Germany,14-04-2026,Hiring Manager
DR. KADE Pharmazeutische Fabrik GmbH,NGS Specialist,Germany,14-04-2026,Hiring Manager
Heilpflanzenwohl GmbH,Microbiology Scientist,Germany,14-04-2026,Hiring Manager
Heilpflanzenwohl GmbH - a,Laboratory Scientist,Germany,14-04-2026,Hiring Manager
Phytolife Pharma GmbH,Biomedical Scientist,Germany,14-04-2026,Hiring Manager
Sanity Group,AMR Research Scientist,Germany,14-04-2026,Hiring Manager
Vayamed,Molecular Diagnostics Specialist,Germany,14-04-2026,Hiring Manager
Vayamed - a,Genomics Scientist,Germany,14-04-2026,Hiring Manager
Oxycodone Pharma,Molecular Biologist,Germany,14-04-2026,Hiring Manager
Chameleon Pharma Consulting Group,Clinical Microbiologist,Germany,14-04-2026,Hiring Manager
