company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Security Program Manager,Germany,14-04-2026,Hiring Manager
teambits a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
Future-App a,IT Security Manager,Germany,14-04-2026,Hiring Manager
Mulan IT Solutions a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
IBS Consult a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
IBS Consult b,Information Risk Manager,Germany,14-04-2026,Hiring Manager
ISRA VISION GmbH a,Security Program Manager,Germany,14-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,GRC Manager,Germany,14-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Information Security Manager,Germany,14-04-2026,Hiring Manager
Plan Software GmbH a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
EUROKEY Software GmbH a,IT Security Manager,Germany,14-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
detacon GmbH a,Security Program Manager,Germany,14-04-2026,Hiring Manager
Is Predict GmbH a,GRC Manager,Germany,14-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Information Security Manager,Germany,14-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
itechx GmbH a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
iX-tech GmbH a,IT Security Manager,Germany,14-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
PFPRO IT Services a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
INFOSERVE GmbH a,Security Program Manager,Germany,14-04-2026,Hiring Manager
PIKON Deutschland AG a,GRC Manager,Germany,14-04-2026,Hiring Manager
Eyeled GmbH a,Information Security Manager,Germany,14-04-2026,Hiring Manager
merios - it-solutions GmbH a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
merios - it-solutions GmbH b,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
Intex EDV-Software GmbH a,IT Security Manager,Germany,14-04-2026,Hiring Manager
Moltomedia GmbH a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
Site Point GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
Bonanza Software GmbH a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
Basis Europe GmbH a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
Basis Europe GmbH b,Security Program Manager,Germany,14-04-2026,Hiring Manager
Basis Europe GmbH c,GRC Manager,Germany,14-04-2026,Hiring Manager
Basis Europe GmbH d,Information Security Manager,Germany,14-04-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
dinext. AG a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
optimIT GmbH a,IT Security Manager,Germany,14-04-2026,Hiring Manager
optimIT GmbH b,Data Protection Manager,Germany,14-04-2026,Hiring Manager
optimIT GmbH c,Security Governance Lead,Germany,14-04-2026,Hiring Manager
RpDoc Solutions GmbH a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
RealObjects GmbH a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,Security Program Manager,Germany,14-04-2026,Hiring Manager
adesso SE c,GRC Manager,Germany,14-04-2026,Hiring Manager
Wenobis IT GmbH a,Information Security Manager,Germany,14-04-2026,Hiring Manager
Talentmore AG a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
Talentmore AG b,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
Talentmore AG c,IT Security Manager,Germany,14-04-2026,Hiring Manager
peloba GmbH a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
PREVISIONZ GmbH a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
Natif.ai a,Security Program Manager,Germany,14-04-2026,Hiring Manager
Gast Solutions a,GRC Manager,Germany,14-04-2026,Hiring Manager
softgarden e-recruiting GmbH a,Information Security Manager,Germany,14-04-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
Max Planck Institute for Software Systems a,IT Security Manager,Germany,14-04-2026,Hiring Manager
BSNSoft Solutions GmbH a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
Facility Management Software GIS PROJECT a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
MBSol Internet Solutions a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
e.Consult AG a,Security Program Manager,Germany,14-04-2026,Hiring Manager
e.Consult AG b,GRC Manager,Germany,14-04-2026,Hiring Manager
ITMT - IT Media Thomé b,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
AGILOS GmbH a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
3S Technologies GmbH a,IT Security Manager,Germany,14-04-2026,Hiring Manager
3S Technologies GmbH b,Data Protection Manager,Germany,14-04-2026,Hiring Manager
vensas GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,Security Program Manager,Germany,14-04-2026,Hiring Manager
K|Lens GmbH a,GRC Manager,Germany,14-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,Information Security Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH a,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH b,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH c,IT Security Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH d,Data Protection Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH e,Security Governance Lead,Germany,14-04-2026,Hiring Manager
abat+ GmbH f,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
abat+ GmbH g,Information Risk Manager,Germany,14-04-2026,Hiring Manager
sequire technology GmbH a,Security Program Manager,Germany,14-04-2026,Hiring Manager
Saarland Informatics Campus a,GRC Manager,Germany,14-04-2026,Hiring Manager
emplify software GmbH a,Information Security Manager,Germany,14-04-2026,Hiring Manager
emplify software GmbH b,Cybersecurity Manager,Germany,14-04-2026,Hiring Manager
Axians Cloud & IT-Automation GmbH - Cloud & Managed Services Anbieter in Ulm a,Risk and Compliance Manager,Germany,14-04-2026,Hiring Manager
PeWa-Software a,IT Security Manager,Germany,14-04-2026,Hiring Manager
we.Beyond IT® | IT Systemhaus Ulm a,Data Protection Manager,Germany,14-04-2026,Hiring Manager
Public Cloud Group GmbH a,Security Governance Lead,Germany,14-04-2026,Hiring Manager
Bechtle IT-Systemhaus Ulm a,Compliance Program Manager,Germany,14-04-2026,Hiring Manager
Systemhaus Ulm GmbH a,Information Risk Manager,Germany,14-04-2026,Hiring Manager
