company_name,role,country,date,hr_name
MARVECS GmbH a,Biotechnology Researcher,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH a,Research Associate Biotechnology,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH b,Molecular Biologist,Germany,04-04-2026,Hiring Manager
Transpharm Logistik GmbH a,Microbiologist,Germany,04-04-2026,Hiring Manager
GBA Pharma GmbH a,Bioprocess Engineer,Germany,04-04-2026,Hiring Manager
Santis a,Fermentation Engineer,Germany,04-04-2026,Hiring Manager
Dr. Falk Pharma GmbH a,Pharmaceutical Production Associate,Germany,04-04-2026,Hiring Manager
Inresa Arzneimittel GmbH a,GMP Specialist,Germany,04-04-2026,Hiring Manager
ChemCon GmbH a,Quality Control Analyst,Germany,04-04-2026,Hiring Manager
BioTechPark Freiburg a,Quality Assurance Specialist,Germany,04-04-2026,Hiring Manager
4HF Biotec GmbH a,Laboratory Analyst,Germany,04-04-2026,Hiring Manager
Ravo Diagnostika GmbH a,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH a,Regulatory Affairs Associate Pharma,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH b,Validation Engineer Pharma,Germany,04-04-2026,Hiring Manager
