company_name,role,country,date,hr_name
MARVECS GmbH a,QA Aseptic Specialist,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH a,Quality Assurance Executive,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH b,Sterility Assurance Specialist,Germany,04-04-2026,Hiring Manager
Transpharm Logistik GmbH a,GMP Compliance Specialist,Germany,04-04-2026,Hiring Manager
GBA Pharma GmbH a,Pharmaceutical QA Analyst,Germany,04-04-2026,Hiring Manager
Santis a,Validation Engineer (Sterile),Germany,04-04-2026,Hiring Manager
Dr. Falk Pharma GmbH a,Aseptic Process Specialist,Germany,04-04-2026,Hiring Manager
Inresa Arzneimittel GmbH a,Quality Control Specialist (Sterile),Germany,04-04-2026,Hiring Manager
ChemCon GmbH a,QA Officer (Pharma),Germany,04-04-2026,Hiring Manager
BioTechPark Freiburg a,Compliance Specialist (Pharma),Germany,04-04-2026,Hiring Manager
4HF Biotec GmbH a,QA Aseptic Specialist,Germany,04-04-2026,Hiring Manager
Ravo Diagnostika GmbH a,Quality Assurance Executive,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH a,Sterility Assurance Specialist,Germany,04-04-2026,Hiring Manager
