company_name,role,country,date,hr_name
Innoface AG a,ADAS Test Engineer,Germany,14-04-2026,Hiring Manager
Innoface AG b,Automotive System Test Engineer,Germany,14-04-2026,Hiring Manager
generic.de software technologies AG a,Embedded Test Engineer,Germany,14-04-2026,Hiring Manager
generic.de software technologies AG b,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
arconsis a,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
arconsis b,Automotive Software Engineer (Testing),Germany,14-04-2026,Hiring Manager
cjt Systemsoftware AG a,Integration Test Engineer,Germany,14-04-2026,Hiring Manager
IT-Choice Software GmbH a,Verification Engineer ADAS,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH a,Functional Safety Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH b,Automotive Diagnostics Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH c,ADAS Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH d,Automotive System Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH e,Embedded Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH f,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH g,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH h,Automotive Software Engineer (Testing),Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH i,Integration Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH j,Verification Engineer ADAS,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH k,Functional Safety Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH l,Automotive Diagnostics Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH m,ADAS Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH n,Automotive System Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH o,Embedded Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH p,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH q,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH r,Automotive Software Engineer (Testing),Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH s,Integration Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH t,Verification Engineer ADAS,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH u,Functional Safety Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH v,Automotive Diagnostics Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH w,ADAS Test Engineer,Germany,14-04-2026,Hiring Manager
