company_name,role,country,date,hr_name
Innoface AG a,Data Engineer,Germany,04-04-2026,Hiring Manager
Innoface AG b,Senior Data Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,ETL Developer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,ETL Engineer,Germany,04-04-2026,Hiring Manager
arconsis a,Data Warehouse Engineer,Germany,04-04-2026,Hiring Manager
arconsis b,SQL Developer (Data Engineering),Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Analytics Engineer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Big Data Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Data Platform Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Cloud Data Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,BI Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Data Integration Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Data Migration Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Data Operations Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Healthcare Data Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Data Management Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Data Analyst (Advanced SQL),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,Reporting Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Data Governance Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Data Architect (Junior/Associate Level),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Data Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Data Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,ETL Developer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,ETL Engineer,Germany,04-04-2026,Hiring Manager
