company_name,role,country,date,hr_name
Innoface AG a,Data Scientist,Germany,04-04-2026,Hiring Manager
Innoface AG b,Machine Learning Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,NLP Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,AI Engineer,Germany,04-04-2026,Hiring Manager
arconsis a,Applied Scientist,Germany,04-04-2026,Hiring Manager
arconsis b,Data Analyst,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Advanced Analytics Engineer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Recommendation Systems Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Deep Learning Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Generative AI Engineer,Germany,04-04-2026,Hiring Manager
