company_name,role,country,date,hr_name
achelos GmbH a,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
Paderpro a,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
VegaSystems GmbH & CO. KG a,Backend Engineer,Germany,14-04-2026,Hiring Manager
DEVITY GmbH a,Software Architect,Germany,14-04-2026,Hiring Manager
STAGEx IT- und Unternehmensmanagement GmbH a,Engineering Manager,Germany,14-04-2026,Hiring Manager
KDN.sozial a,Platform Engineer,Germany,14-04-2026,Hiring Manager
Völker Software a,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
pragmatic development GmbH a,Java Developer,Germany,14-04-2026,Hiring Manager
COMBRELLA | Digitales Service-Unternehmen für Selbständige & Kleinstunternehmer | Paderborn Elsen a,Microservices Engineer,Germany,14-04-2026,Hiring Manager
Schroeder IT a,Backend Developer,Germany,14-04-2026,Hiring Manager
code-x GmbH a,Technical Lead,Germany,14-04-2026,Hiring Manager
code-x GmbH b,Cloud Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH c,Systems Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH d,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH e,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH f,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH g,Backend Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH h,Software Architect,Germany,14-04-2026,Hiring Manager
code-x GmbH i,Engineering Manager,Germany,14-04-2026,Hiring Manager
code-x GmbH j,Platform Engineer,Germany,14-04-2026,Hiring Manager
code-x GmbH l,Java Developer,Germany,14-04-2026,Hiring Manager
3 ZB IT GmbH a,Microservices Engineer,Germany,14-04-2026,Hiring Manager
DIXENO GmbH a,Backend Developer,Germany,14-04-2026,Hiring Manager
fecher GmbH a,Staff Software Engineer,Germany,14-04-2026,Hiring Manager
fecher GmbH b,Technical Lead,Germany,14-04-2026,Hiring Manager
fecher GmbH c,Cloud Engineer,Germany,14-04-2026,Hiring Manager
fecher GmbH d,Systems Engineer,Germany,14-04-2026,Hiring Manager
fecher GmbH e,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
fecher GmbH f,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
fecher GmbH g,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
codegiganten GmbH a,Backend Engineer,Germany,14-04-2026,Hiring Manager
amexus Informationstechnik GmbH & Co. KG a,Software Architect,Germany,14-04-2026,Hiring Manager
IT Wegbereiter GmbH a,Engineering Manager,Germany,14-04-2026,Hiring Manager
Raynet Inc. a,Platform Engineer,Germany,14-04-2026,Hiring Manager
TipPc Computer - Neue und gebrauchte Hardware / Reparatur- und Netzwerk-Service a,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
T-Nex GmbH a,Java Developer,Germany,14-04-2026,Hiring Manager
iXtronics GmbH a,Microservices Engineer,Germany,14-04-2026,Hiring Manager
Andersen Germany GmbH,Backend Developer,Germany,14-04-2026,Hiring Manager
MVP Factory,Staff Software Engineer,Germany,14-04-2026,Hiring Manager
MVP Factory - a,Technical Lead,Germany,14-04-2026,Hiring Manager
TDSoftware,Cloud Engineer,Germany,14-04-2026,Hiring Manager
Blue IT Systems GmbH | Software Development Company,Systems Engineer,Germany,14-04-2026,Hiring Manager
impltech,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
"Avalenz, Germany Office",Senior Software Engineer,Germany,14-04-2026,Hiring Manager
P&T Software GmbH - Software agency for individual B2B solutions,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
Mirantis Germany GmbH,Backend Engineer,Germany,14-04-2026,Hiring Manager
Deltologic (Germany),Software Architect,Germany,14-04-2026,Hiring Manager
Key Devs- Software House in Germany,Engineering Manager,Germany,14-04-2026,Hiring Manager
Intertec.io - Software Development Company in Munich,Platform Engineer,Germany,14-04-2026,Hiring Manager
TechNow | Software Entwicklung und IT-Support in Berlin,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
DevConsult Berlin - Software Agentur,Java Developer,Germany,14-04-2026,Hiring Manager
EsPresto AG,Microservices Engineer,Germany,14-04-2026,Hiring Manager
Heringer Consulting GmbH,Backend Developer,Germany,14-04-2026,Hiring Manager
Cavorit Consulting GmbH,Staff Software Engineer,Germany,14-04-2026,Hiring Manager
Packit Code - a,Cloud Engineer,Germany,14-04-2026,Hiring Manager
Voypost,Systems Engineer,Germany,14-04-2026,Hiring Manager
prototype.berlin GmbH | App Entwicklung,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
prototype.berlin GmbH | App Entwicklung - a,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
Amperecloud,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
i2x Headquarter Berlin,Backend Engineer,Germany,14-04-2026,Hiring Manager
"Digitalagentur Berlin Bytes: KI, Beratung & Entwicklung",Software Architect,Germany,14-04-2026,Hiring Manager
mention Software GmbH,Engineering Manager,Germany,14-04-2026,Hiring Manager
mention Software GmbH - a,Platform Engineer,Germany,14-04-2026,Hiring Manager
telli technologies GmbH,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
Tinloof - Web Development & Web Design Agency,Java Developer,Germany,14-04-2026,Hiring Manager
Tinloof - Web Development & Web Design Agency - a,Microservices Engineer,Germany,14-04-2026,Hiring Manager
Nexus Technology GmbH,Backend Developer,Germany,14-04-2026,Hiring Manager
Ankercloud GmbH,Staff Software Engineer,Germany,14-04-2026,Hiring Manager
Miquido - software development company,Technical Lead,Germany,14-04-2026,Hiring Manager
th data GmbH,Cloud Engineer,Germany,14-04-2026,Hiring Manager
Mobile App Development agency in Berlin - App-concept.com GmbH,Systems Engineer,Germany,14-04-2026,Hiring Manager
App Entwicklung Berlin,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
Workist,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
Cobalt Software GmbH,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
Beam my Presence to Germany GmbH,Backend Engineer,Germany,14-04-2026,Hiring Manager
IAV GmbH,Software Architect,Germany,14-04-2026,Hiring Manager
IAV GmbH - a,Engineering Manager,Germany,14-04-2026,Hiring Manager
IAV GmbH - b,Platform Engineer,Germany,14-04-2026,Hiring Manager
IAV GmbH - c,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
IAV GmbH - d,Java Developer,Germany,14-04-2026,Hiring Manager
iApps Technologies GmbH,Backend Developer,Germany,14-04-2026,Hiring Manager
idalab GmbH,Staff Software Engineer,Germany,14-04-2026,Hiring Manager
idalab GmbH - a,Technical Lead,Germany,14-04-2026,Hiring Manager
idalab GmbH - b,Cloud Engineer,Germany,14-04-2026,Hiring Manager
idalab GmbH - c,Systems Engineer,Germany,14-04-2026,Hiring Manager
IQ Technologies for Earth and Space,Full Stack Engineer,Germany,14-04-2026,Hiring Manager
SysEleven GmbH,Senior Software Engineer,Germany,14-04-2026,Hiring Manager
SysEleven GmbH - a,Lead Software Engineer,Germany,14-04-2026,Hiring Manager
ias Aktiengesellschaft,Backend Engineer,Germany,14-04-2026,Hiring Manager
wiTTyMinds Technologies,Software Architect,Germany,14-04-2026,Hiring Manager
Humboldt Startup-Inkubator Mitte,Engineering Manager,Germany,14-04-2026,Hiring Manager
"Startup Incubator Berlin, Gründungszentrum der HWR Berlin",Platform Engineer,Germany,14-04-2026,Hiring Manager
Startup Tour Berlin,Distributed Systems Engineer,Germany,14-04-2026,Hiring Manager
ROQ Technology GmbH,Java Developer,Germany,14-04-2026,Hiring Manager
Humboldt Startupservice EXIST Berlin,Microservices Engineer,Germany,14-04-2026,Hiring Manager
Startup Europe,Backend Developer,Germany,14-04-2026,Hiring Manager
