company_name,role,country,date,hr_name
Innoface AG a,QA Manager,Germany,04-04-2026,Hiring Manager
Innoface AG b,Quality Engineering Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,SDET Lead,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Test Automation Architect,Germany,04-04-2026,Hiring Manager
arconsis a,QA Lead,Germany,04-04-2026,Hiring Manager
arconsis b,Senior QA Manager,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Software Quality Manager,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Automation Test Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,AI Testing Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,AI QA Specialist,Germany,04-04-2026,Hiring Manager
