company_name,role,country,date,hr_name
Innoface AG a,Embedded Systems Engineer,Germany,14-04-2026,Hiring Manager
Innoface AG b,Automotive Test Engineer,Germany,14-04-2026,Hiring Manager
generic.de software technologies AG a,HiL Test Engineer,Germany,14-04-2026,Hiring Manager
generic.de software technologies AG b,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
arconsis a,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
arconsis b,ADAS Validation Engineer,Germany,14-04-2026,Hiring Manager
cjt Systemsoftware AG a,Embedded Software Engineer Automotive,Germany,14-04-2026,Hiring Manager
IT-Choice Software GmbH a,Test Automation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH a,Systems Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH b,Automotive Software Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH c,Embedded Systems Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH d,Automotive Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH e,HiL Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH f,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH g,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH h,ADAS Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH i,Embedded Software Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH j,Test Automation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH k,Systems Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH l,Automotive Software Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH m,Embedded Systems Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH n,Automotive Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH o,HiL Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH p,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH q,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH r,ADAS Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH s,Embedded Software Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH t,Test Automation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH u,Systems Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH v,Automotive Software Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH w,Embedded Systems Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH x,Automotive Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH y,HiL Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH z,Validation Engineer Automotive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH aa,ECU Test Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH ab,ADAS Validation Engineer,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH ac,Embedded Software Engineer Automotive,Germany,14-04-2026,Hiring Manager
