company_name,role,country,date,hr_name
Innoface AG a,Control Systems Engineer,Germany,04-04-2026,Hiring Manager
Innoface AG b,Industrial Automation Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,PLC Programmer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,PLC Architect,Germany,04-04-2026,Hiring Manager
arconsis a,SCADA Engineer,Germany,04-04-2026,Hiring Manager
arconsis b,Automation Engineer,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,DCS Engineer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Industrial Software Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Embedded Control Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Systems Integration Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Automation Architect,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Industry 4.0 Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,IIoT Engineer,Germany,04-04-2026,Hiring Manager
