company_name,role,country,date,hr_name
Vector Informatik GmbH b,Marketing Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH c,Marketing Coordinator,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH d,Digital Marketing Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH e,Brand Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH f,PR Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH g,Client Services Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH h,Marketing Assistant,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH i,Campaign Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH j,Social Media Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH k,Event Marketing Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH l,Marketing Executive,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH m,Marketing Coordinator,Germany,14-04-2026,Hiring Manager
Vector Informatik GmbH n,Digital Marketing Executive,Germany,14-04-2026,Hiring Manager
