company_name,role,country,date,hr_name
Innoface AG a,SOC Analyst L2,Germany,04-04-2026,Hiring Manager
Innoface AG b,SOC Analyst L3,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Cyber Security Analyst,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Incident Response Analyst,Germany,04-04-2026,Hiring Manager
arconsis a,Security Operations Center Analyst,Germany,04-04-2026,Hiring Manager
arconsis b,SIEM Analyst,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,SIEM Engineer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Threat Detection Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Blue Team Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Cyber Defense Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Security Monitoring Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,EDR Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Endpoint Security Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Vulnerability Management Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Threat Intelligence Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Information Security Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Security Operations Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,PAM Security Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Detection Engineer (Junior/Mid),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Cyber Security Consultant (SOC),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,SOC Analyst L2,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,SOC Analyst L3,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Cyber Security Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Incident Response Analyst,Germany,04-04-2026,Hiring Manager
