company_name,role,country,date,hr_name
MARVECS GmbH a,Operations Manager,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH a,Senior Operations Manager,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH b,General Manager,Germany,04-04-2026,Hiring Manager
Transpharm Logistik GmbH a,Business Operations Manager,Germany,04-04-2026,Hiring Manager
GBA Pharma GmbH a,Strategy and Operations Manager,Germany,04-04-2026,Hiring Manager
Santis a,Program Manager (Operations),Germany,04-04-2026,Hiring Manager
Dr. Falk Pharma GmbH a,Transformation Manager,Germany,04-04-2026,Hiring Manager
Inresa Arzneimittel GmbH a,Process Excellence Manager,Germany,04-04-2026,Hiring Manager
ChemCon GmbH a,Continuous Improvement Manager,Germany,04-04-2026,Hiring Manager
BioTechPark Freiburg a,Healthcare Operations Manager,Germany,04-04-2026,Hiring Manager
4HF Biotec GmbH a,Hospital Administrator,Germany,04-04-2026,Hiring Manager
Ravo Diagnostika GmbH a,Operations Director,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH a,Site Operations Manager,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH b,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH c,Infrastructure Operations Manager,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH d,Risk and Compliance Manager (Operations),Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH e,Change Management Lead,Germany,04-04-2026,Hiring Manager
Losan Pharma GmbH a,Performance and KPI Manager,Germany,04-04-2026,Hiring Manager
Lebewohl-Fabrik GmbH & Co. KG a,Operations Consultant,Germany,04-04-2026,Hiring Manager
HiSS Diagnostics GmbH a,Facility Operations Manager,Germany,04-04-2026,Hiring Manager
EHRET GmbH Life Science Solutions a,Operations Manager,Germany,04-04-2026,Hiring Manager
Haupt Pharma Amareg GmbH - Aenova Regensburg a,Senior Operations Manager,Germany,04-04-2026,Hiring Manager
Frasophere Pharma Handels-GmbH a,General Manager,Germany,04-04-2026,Hiring Manager
Chemical Factory Kreussler & Co. GmbH a,Business Operations Manager,Germany,04-04-2026,Hiring Manager
ORGANO PHARMA GERMANY GmbH a,Strategy and Operations Manager,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH a,Program Manager (Operations),Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH b,Transformation Manager,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH c,Process Excellence Manager,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH d,Continuous Improvement Manager,Germany,04-04-2026,Hiring Manager
VitaPharm GmbH a,Healthcare Operations Manager,Germany,04-04-2026,Hiring Manager
phi Pharma International GmbH & Co. KG a,Hospital Administrator,Germany,04-04-2026,Hiring Manager
Novo Nordisk Pharma GmbH a,Operations Director,Germany,04-04-2026,Hiring Manager
Umforana GmbH & Co. KG a,Site Operations Manager,Germany,04-04-2026,Hiring Manager
HENNIG ARZNEIMITTEL GmbH & Co. KG a,Service Delivery Manager,Germany,04-04-2026,Hiring Manager
Euro Biomedico GmbH a,Infrastructure Operations Manager,Germany,04-04-2026,Hiring Manager
BioNTech SE a,Risk and Compliance Manager (Operations),Germany,04-04-2026,Hiring Manager
IDV - Isochem & Datenverarbeitung GmbH a,Change Management Lead,Germany,04-04-2026,Hiring Manager
NEMIUS Medical Europe GmbH & Co. KG a,Performance and KPI Manager,Germany,04-04-2026,Hiring Manager
"Zentrum für Pharmaverfahrenstechnik (PVZ), Technische Universität Braunschweig a",Operations Consultant,Germany,04-04-2026,Hiring Manager
Lionex Diagnostics & Therapeutics GmbH a,Facility Operations Manager,Germany,04-04-2026,Hiring Manager
Lionex Diagnostics & Therapeutics GmbH b,Operations Manager,Germany,04-04-2026,Hiring Manager
Yumab GmbH a,Senior Operations Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH a,General Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH b,Business Operations Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH c,Strategy and Operations Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH d,Program Manager (Operations),Germany,04-04-2026,Hiring Manager
Ferring GmbH e,Transformation Manager,Germany,04-04-2026,Hiring Manager
