company_name,role,country,date,hr_name
Adaptive Tech,Project Manager,Germany,15-04-2026,Hiring Manager
re:cap Technologies GmbH,Program Manager,Germany,15-04-2026,Hiring Manager
FutureFoodCo,Service Delivery Manager,Germany,15-04-2026,Hiring Manager
Innovation Network for Advanced Materials (INAM) e. V.,PMO Manager,Germany,15-04-2026,Hiring Manager
reteach,IT Project Manager,Germany,15-04-2026,Hiring Manager
Konvi,SAP Project Manager,Germany,15-04-2026,Hiring Manager
Denizen House Eiswerk,ERP Project Manager,Germany,15-04-2026,Hiring Manager
alcemy GmbH,Global Rollout Manager,Germany,15-04-2026,Hiring Manager
Cito Transport Technologies GmbH,Transition Manager,Germany,15-04-2026,Hiring Manager
Cito Transport Technologies GmbH - a,Operations Program Manager,Germany,15-04-2026,Hiring Manager
Signatrix GmbH,PMO Lead,Germany,15-04-2026,Hiring Manager
Velsa,Service Operations Manager,Germany,15-04-2026,Hiring Manager
CoachHub GmbH,Implementation Manager,Germany,15-04-2026,Hiring Manager
WestTech Ventures GmbH,Project Delivery Lead,Germany,15-04-2026,Hiring Manager
WestTech Ventures GmbH - a,Project Manager,Germany,15-04-2026,Hiring Manager
Hivemind Technologies AG,Program Manager,Germany,15-04-2026,Hiring Manager
Hrmony GmbH,Service Delivery Manager,Germany,15-04-2026,Hiring Manager
Hrmony GmbH - a,PMO Manager,Germany,15-04-2026,Hiring Manager
Hrmony GmbH - b,IT Project Manager,Germany,15-04-2026,Hiring Manager
Disrptive,SAP Project Manager,Germany,15-04-2026,Hiring Manager
Space Rocket - Webdesign und Online Marketing Berlin,ERP Project Manager,Germany,15-04-2026,Hiring Manager
Webdesign Agentur Berlin - Rocket Website GmbH,Global Rollout Manager,Germany,15-04-2026,Hiring Manager
Webdesign Agentur Berlin - Rocket Website GmbH - a,Delivery Manager,Germany,15-04-2026,Hiring Manager
BITSKIN - Berliner WordPress Agentur seit 2004,Transition Manager,Germany,15-04-2026,Hiring Manager
Webdesign Helden,Operations Program Manager,Germany,15-04-2026,Hiring Manager
List & Sell GmbH - Webdesign Internet Marketing Agentur Berlin,PMO Lead,Germany,15-04-2026,Hiring Manager
TECH Codence - #1 SEO Company | Web Design & Development Services,Service Operations Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin,Implementation Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin - a,Project Delivery Lead,Germany,15-04-2026,Hiring Manager
LOOP Berlin - b,Project Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin - c,Program Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin - d,Service Delivery Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin - e,PMO Manager,Germany,15-04-2026,Hiring Manager
LOOP Berlin - f,IT Project Manager,Germany,15-04-2026,Hiring Manager
digitalklang GmbH – Softwareentwicklung Berlin,SAP Project Manager,Germany,15-04-2026,Hiring Manager
Bart Przespolewski Website Berlin,ERP Project Manager,Germany,15-04-2026,Hiring Manager
suxeedo GmbH - a,Delivery Manager,Germany,15-04-2026,Hiring Manager
Software & Web Development company in Berlin - ROO,Transition Manager,Germany,15-04-2026,Hiring Manager
Web Developers Berlin,Operations Program Manager,Germany,15-04-2026,Hiring Manager
100wunder - Web Development,PMO Lead,Germany,15-04-2026,Hiring Manager
Baubauwerk,Service Operations Manager,Germany,15-04-2026,Hiring Manager
JoernToellnerDesign . Strategie + Design für starke Marken,Implementation Manager,Germany,15-04-2026,Hiring Manager
17GRAD | Co-Working | Web-Design,Project Manager,Germany,15-04-2026,Hiring Manager
STATE | Strategy ︎ Design ︎ Technology ︎,Service Delivery Manager,Germany,15-04-2026,Hiring Manager
Glyco IT - Custom Software Development Company in Berlin,PMO Manager,Germany,15-04-2026,Hiring Manager
think moto – Corporate Design and UX Agency,IT Project Manager,Germany,15-04-2026,Hiring Manager
think moto – Corporate Design and UX Agency - a,SAP Project Manager,Germany,15-04-2026,Hiring Manager
Navarra,ERP Project Manager,Germany,15-04-2026,Hiring Manager
