company_name,role,country,date,hr_name
Therium Deutschland GmbH b,Account Manager,Germany,04-04-2026,Hiring Manager
"DHB Bank N.V., Niederlassung Deutschland a",Senior Account Manager,Germany,04-04-2026,Hiring Manager
Vivaneo Sperm Bank GmbH a,Key Account Manager,Germany,04-04-2026,Hiring Manager
UFKB Düsseldorf – Ungebundener Versicherungsmakler a,Business Development Manager,Germany,04-04-2026,Hiring Manager
Baufi24 Baufinanzierung a,Sales Manager Life Sciences,Germany,04-04-2026,Hiring Manager
Baufi24 Baufinanzierung b,Product Manager Life Sciences,Germany,04-04-2026,Hiring Manager
Baufi24 Baufinanzierung c,Territory Manager,Germany,04-04-2026,Hiring Manager
Baufi24 Baufinanzierung d,Commercial Manager,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG Stuttgart a,Inside Sales Manager,Germany,04-04-2026,Hiring Manager
Creditplus Bank AG - Filiale Stuttgart a,Category Manager,Germany,04-04-2026,Hiring Manager
Creditplus Bank AG - Zentrale Stuttgart | Beratung nur in den Filialen a,Account Manager,Germany,04-04-2026,Hiring Manager
Creditplus Bank AG - Zentrale Stuttgart | Beratung nur in den Filialen b,Senior Account Manager,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart a,Key Account Manager,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart b,Business Development Manager,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart c,Sales Manager Life Sciences,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart d,Product Manager Life Sciences,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart e,Territory Manager,Germany,04-04-2026,Hiring Manager
Merck Finck a Quintet Private Bank - Stuttgart f,Commercial Manager,Germany,04-04-2026,Hiring Manager
Gründerbank Stuttgart a,Inside Sales Manager,Germany,04-04-2026,Hiring Manager
Rettig & Partner Investment Consulting a,Category Manager,Germany,04-04-2026,Hiring Manager
Alpen Privatbank AG a,Account Manager,Germany,04-04-2026,Hiring Manager
Alpen Privatbank AG b,Senior Account Manager,Germany,04-04-2026,Hiring Manager
Alpen Privatbank AG c,Key Account Manager,Germany,04-04-2026,Hiring Manager
Alpen Privatbank AG d,Business Development Manager,Germany,04-04-2026,Hiring Manager
Alpen Privatbank AG e,Sales Manager Life Sciences,Germany,04-04-2026,Hiring Manager
0711 Finanz | Finanzberater Stuttgart a,Product Manager Life Sciences,Germany,04-04-2026,Hiring Manager
Deutsche Bank Filiale a,Territory Manager,Germany,04-04-2026,Hiring Manager
Finanzstudio Daniel Heß - Baufinanzierung Stuttgart a,Commercial Manager,Germany,04-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater a",Inside Sales Manager,Germany,04-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater b",Category Manager,Germany,04-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater c",Account Manager,Germany,04-04-2026,Hiring Manager
