company_name,role,country,date,hr_name
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg b,AI Engineer,Germany,16-04-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,Machine Learning Engineer,Germany,16-04-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,Backend Engineer,Germany,16-04-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,LLM Engineer,Germany,16-04-2026,Hiring Manager
cs concept GmbH a,Generative AI Engineer,Germany,16-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,Data Engineer (AI/ML),Germany,16-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,NLP Engineer,Germany,16-04-2026,Hiring Manager
NoseDat a,Software Engineer (AI),Germany,16-04-2026,Hiring Manager
Gefasoft Engineering GmbH a,Applied AI Engineer,Germany,16-04-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,Backend Engineer,Germany,16-04-2026,Hiring Manager
OptWare GmbH a,LLM Engineer,Germany,16-04-2026,Hiring Manager
Force Net GmbH a,Generative AI Engineer,Germany,16-04-2026,Hiring Manager
coliex systems GmbH a,Data Engineer (AI/ML),Germany,16-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,NLP Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH a,Software Engineer (AI),Germany,16-04-2026,Hiring Manager
CRITEX GmbH b,Applied AI Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH c,Cloud AI Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH d,AI Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH e,Machine Learning Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH f,Backend Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH g,LLM Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH h,Generative AI Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH i,Data Engineer (AI/ML),Germany,16-04-2026,Hiring Manager
CRITEX GmbH j,NLP Engineer,Germany,16-04-2026,Hiring Manager
CRITEX GmbH k,Software Engineer (AI),Germany,16-04-2026,Hiring Manager
IN-Solution GmbH a,Generative AI Engineer,Germany,16-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,Data Engineer (AI/ML),Germany,16-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,NLP Engineer,Germany,16-04-2026,Hiring Manager
Number42 GmbH a,Software Engineer (AI),Germany,16-04-2026,Hiring Manager
