company_name,role,country,date,hr_name
MARVECS GmbH a,Pharmaceutical Technician,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH a,QA Associate (Pharma),Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH b,QC Analyst,Germany,04-04-2026,Hiring Manager
Transpharm Logistik GmbH a,GMP Associate,Germany,04-04-2026,Hiring Manager
GBA Pharma GmbH a,Production Associate (Pharma),Germany,04-04-2026,Hiring Manager
Santis a,Validation Associate,Germany,04-04-2026,Hiring Manager
Dr. Falk Pharma GmbH a,Regulatory Affairs Associate,Germany,04-04-2026,Hiring Manager
Inresa Arzneimittel GmbH a,Quality Assurance Executive,Germany,04-04-2026,Hiring Manager
ChemCon GmbH a,Pharmaceutical Analyst,Germany,04-04-2026,Hiring Manager
BioTechPark Freiburg a,Clinical Pharmacy Associate,Germany,04-04-2026,Hiring Manager
4HF Biotec GmbH a,Pharmaceutical Technician,Germany,04-04-2026,Hiring Manager
Ravo Diagnostika GmbH a,QA Associate (Pharma),Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH a,QC Analyst,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH b,GMP Associate,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH c,Production Associate (Pharma),Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH d,Validation Associate,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH e,Regulatory Affairs Associate,Germany,04-04-2026,Hiring Manager
Losan Pharma GmbH a,Quality Assurance Executive,Germany,04-04-2026,Hiring Manager
Lebewohl-Fabrik GmbH & Co. KG a,Pharmaceutical Analyst,Germany,04-04-2026,Hiring Manager
HiSS Diagnostics GmbH a,Clinical Pharmacy Associate,Germany,04-04-2026,Hiring Manager
EHRET GmbH Life Science Solutions a,Pharmaceutical Technician,Germany,04-04-2026,Hiring Manager
Haupt Pharma Amareg GmbH - Aenova Regensburg a,QA Associate (Pharma),Germany,04-04-2026,Hiring Manager
Frasophere Pharma Handels-GmbH a,QC Analyst,Germany,04-04-2026,Hiring Manager
Chemical Factory Kreussler & Co. GmbH a,GMP Associate,Germany,04-04-2026,Hiring Manager
ORGANO PHARMA GERMANY GmbH a,Production Associate (Pharma),Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH a,Validation Associate,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH b,Regulatory Affairs Associate,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH c,Quality Assurance Executive,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH d,Pharmaceutical Analyst,Germany,04-04-2026,Hiring Manager
VitaPharm GmbH a,Clinical Pharmacy Associate,Germany,04-04-2026,Hiring Manager
phi Pharma International GmbH & Co. KG a,Pharmaceutical Technician,Germany,04-04-2026,Hiring Manager
Novo Nordisk Pharma GmbH a,QA Associate (Pharma),Germany,04-04-2026,Hiring Manager
Umforana GmbH & Co. KG a,QC Analyst,Germany,04-04-2026,Hiring Manager
HENNIG ARZNEIMITTEL GmbH & Co. KG a,GMP Associate,Germany,04-04-2026,Hiring Manager
