company_name,role,country,date,hr_name
Innoface AG a,Senior Business Intelligence Analyst,Germany,04-04-2026,Hiring Manager
Innoface AG b,BI Analyst,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Senior Data Analyst,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Analytics Manager,Germany,04-04-2026,Hiring Manager
arconsis a,Data Analytics Lead,Germany,04-04-2026,Hiring Manager
arconsis b,Business Intelligence Consultant,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Power BI Developer,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Power BI Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Reporting Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Data Visualization Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,BI Architect (Mid-Level),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Data Analytics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Insights Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,KPI Reporting Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Data Strategy Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,BI Developer (SQL + DAX),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Data Governance Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,ETL Developer (BI-focused),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Financial Data Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Risk Analytics Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Senior Business Intelligence Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,BI Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Senior Data Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Analytics Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,Data Analytics Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Business Intelligence Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,Power BI Developer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,Power BI Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,Reporting Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH v,Data Visualization Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH w,BI Architect (Mid-Level),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH x,Data Analytics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH y,Insights Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH z,KPI Reporting Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aa,Data Strategy Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ab,BI Developer (SQL + DAX),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ac,Data Governance Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ad,ETL Developer (BI-focused),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ae,Financial Data Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH af,Risk Analytics Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ag,Senior Business Intelligence Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ah,BI Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ai,Senior Data Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aj,Analytics Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ak,Data Analytics Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH al,Business Intelligence Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH am,Power BI Developer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH an,Power BI Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ao,Reporting Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ap,Data Visualization Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aq,BI Architect (Mid-Level),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ar,Data Analytics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH as,Insights Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH at,KPI Reporting Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH au,Data Strategy Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH av,BI Developer (SQL + DAX),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aw,Data Governance Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ax,ETL Developer (BI-focused),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ay,Financial Data Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH az,Risk Analytics Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ba,Senior Business Intelligence Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bb,BI Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bc,Senior Data Analyst,Germany,04-04-2026,Hiring Manager
DSC Software AG a,Analytics Manager,Germany,04-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Data Analytics Lead,Germany,04-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Business Intelligence Consultant,Germany,04-04-2026,Hiring Manager
MCC Software Engineering a,Power BI Developer,Germany,04-04-2026,Hiring Manager
Jamit Labs GmbH a,Power BI Lead,Germany,04-04-2026,Hiring Manager
CodeWrights GmbH a,Reporting Manager,Germany,04-04-2026,Hiring Manager
CodeWrights GmbH b,Data Visualization Specialist,Germany,04-04-2026,Hiring Manager
n-komm GmbH a,BI Architect (Mid-Level),Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Data Analytics Consultant,Germany,04-04-2026,Hiring Manager
Pharmakon Software GmbH a,Insights Manager,Germany,04-04-2026,Hiring Manager
awesome information technology GmbH a,KPI Reporting Lead,Germany,04-04-2026,Hiring Manager
DATEX Software GmbH a,Data Strategy Analyst,Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,BI Developer (SQL + DAX),Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Data Governance Analyst,Germany,04-04-2026,Hiring Manager
ITstrategen GmbH a,ETL Developer (BI-focused),Germany,04-04-2026,Hiring Manager
ITstrategen GmbH b,Financial Data Analyst,Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Risk Analytics Analyst,Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Senior Business Intelligence Analyst,Germany,04-04-2026,Hiring Manager
BTS Technische Software GmbH a,BI Analyst,Germany,04-04-2026,Hiring Manager
adesso SE a,Senior Data Analyst,Germany,04-04-2026,Hiring Manager
adesso SE b,Analytics Manager,Germany,04-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Data Analytics Lead,Germany,04-04-2026,Hiring Manager
KENBUN IT AG a,Business Intelligence Consultant,Germany,04-04-2026,Hiring Manager
Tooltec IT GmbH a,Power BI Developer,Germany,04-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Power BI Lead,Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Reporting Manager,Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Data Visualization Specialist,Germany,04-04-2026,Hiring Manager
Nesto Software GmbH a,BI Architect (Mid-Level),Germany,04-04-2026,Hiring Manager
PowMio GmbH a,Data Analytics Consultant,Germany,04-04-2026,Hiring Manager
AUNOVIS GmbH a,Insights Manager,Germany,04-04-2026,Hiring Manager
movisens GmbH a,KPI Reporting Lead,Germany,04-04-2026,Hiring Manager
movisens GmbH b,Data Strategy Analyst,Germany,04-04-2026,Hiring Manager
