company_name,role,country,date,hr_name
Pixida GmbH - e,Data Engineer,Germany,16-04-2026,Hiring Manager
LunaticNet GmbH & Co. KG,Backend Engineer,Germany,16-04-2026,Hiring Manager
Cloudbridge Consulting GmbH,Analytics Engineer,Germany,16-04-2026,Hiring Manager
CrossX-IT GmbH,SQL Developer,Germany,16-04-2026,Hiring Manager
Retailtech Hub,BI Engineer,Germany,16-04-2026,Hiring Manager
XPRENEURS Incubator,Data Platform Engineer,Germany,16-04-2026,Hiring Manager
Hyperganic Technologies GmbH,ETL Developer,Germany,16-04-2026,Hiring Manager
Center for Digital Technology and Management,Big Data Engineer,Germany,16-04-2026,Hiring Manager
TUM-Tech GmbH,Database Engineer,Germany,16-04-2026,Hiring Manager
health.tech conference,Cloud Data Engineer,Germany,16-04-2026,Hiring Manager
Munich Innovation Ecosystem GmbH,Data Engineer,Germany,16-04-2026,Hiring Manager
Münchner Technologiezentrum - MTZ,Backend Engineer,Germany,16-04-2026,Hiring Manager
Munich Urban Colab,Analytics Engineer,Germany,16-04-2026,Hiring Manager
Motius GmbH,SQL Developer,Germany,16-04-2026,Hiring Manager
Motius GmbH - a,BI Engineer,Germany,16-04-2026,Hiring Manager
Magazino,Data Platform Engineer,Germany,16-04-2026,Hiring Manager
TUM School of Management,ETL Developer,Germany,16-04-2026,Hiring Manager
Munich Innovation Labs,Big Data Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES,Database Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES - a,Cloud Data Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES - b,Data Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES - c,Backend Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES - d,Analytics Engineer,Germany,16-04-2026,Hiring Manager
ROUNDPEG TECHNOLOGIES - e,SQL Developer,Germany,16-04-2026,Hiring Manager
Bavarian Automotive Technologies GmbH,BI Engineer,Germany,16-04-2026,Hiring Manager
Cognizant Technology Solutions GmbH,Data Platform Engineer,Germany,16-04-2026,Hiring Manager
bios-tec GmbH - Stable IT for SMEs,ETL Developer,Germany,16-04-2026,Hiring Manager
pub.tech Public Value Technologies GmbH,Big Data Engineer,Germany,16-04-2026,Hiring Manager
pub.tech Public Value Technologies GmbH - a,Database Engineer,Germany,16-04-2026,Hiring Manager
pub.tech Public Value Technologies GmbH - b,Cloud Data Engineer,Germany,16-04-2026,Hiring Manager
"m.a.x. it für Services, Software-Entwicklung und Broadcast",Data Engineer,Germany,16-04-2026,Hiring Manager
"m.a.x. it für Services, Software-Entwicklung und Broadcast - a",Backend Engineer,Germany,16-04-2026,Hiring Manager
