company_name,role,country,date,hr_name
prenode GmbH a,Embedded Firmware Engineer,Germany,04-04-2026,Hiring Manager
s.a.x. Software GmbH a,Embedded Systems Engineer,Germany,04-04-2026,Hiring Manager
ANALYTICA GmbH a,Firmware Engineer,Germany,04-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Embedded C Developer,Germany,04-04-2026,Hiring Manager
Unic GmbH a,Motor Control Engineer,Germany,04-04-2026,Hiring Manager
Open Experience GmbH a,Power Electronics Engineer,Germany,04-04-2026,Hiring Manager
Bee360 a,Embedded Software Engineer,Germany,04-04-2026,Hiring Manager
Consiliari GmbH a,Control Systems Engineer,Germany,04-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Hardware Software Integration Engineer,Germany,04-04-2026,Hiring Manager
Compaile Solutions GmbH a,Automotive Embedded Engineer,Germany,04-04-2026,Hiring Manager
emediagroup GmbH a,IoT Firmware Engineer,Germany,04-04-2026,Hiring Manager
Codelution GmbH a,Real Time Systems Engineer,Germany,04-04-2026,Hiring Manager
Appmond a,Electrical Embedded Engineer,Germany,04-04-2026,Hiring Manager
Navigate AG a,MCU Firmware Engineer,Germany,04-04-2026,Hiring Manager
cluetec GmbH a,Embedded Design Engineer,Germany,04-04-2026,Hiring Manager
cluetec GmbH b,Robotics Firmware Engineer,Germany,04-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Mechatronics Engineer,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Embedded Developer,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Systems Engineer Embedded,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Firmware Developer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Embedded Firmware Engineer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Embedded Systems Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Firmware Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Embedded C Developer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Motor Control Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Power Electronics Engineer,Germany,04-04-2026,Hiring Manager
INIT a,Embedded Software Engineer,Germany,04-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Control Systems Engineer,Germany,04-04-2026,Hiring Manager
ILI.DIGITAL AG a,Hardware Software Integration Engineer,Germany,04-04-2026,Hiring Manager
