company_name,role,country,date,hr_name
prenode GmbH a,CRM Consultant,Germany,04-04-2026,Hiring Manager
s.a.x. Software GmbH a,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
ANALYTICA GmbH a,Campaign Manager,Germany,04-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,CRM Engineer,Germany,04-04-2026,Hiring Manager
Unic GmbH a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
Open Experience GmbH a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
Bee360 a,Martech Consultant,Germany,04-04-2026,Hiring Manager
Consiliari GmbH a,CRM Analyst,Germany,04-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
Compaile Solutions GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
emediagroup GmbH a,CRM Consultant,Germany,04-04-2026,Hiring Manager
Codelution GmbH a,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
Appmond a,Campaign Manager,Germany,04-04-2026,Hiring Manager
Navigate AG a,CRM Engineer,Germany,04-04-2026,Hiring Manager
cluetec GmbH a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
cluetec GmbH b,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Martech Consultant,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,CRM Analyst,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,CRM Consultant,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Campaign Manager,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,CRM Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
INIT a,Martech Consultant,Germany,04-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,CRM Analyst,Germany,04-04-2026,Hiring Manager
ILI.DIGITAL AG a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
Schwenk IT GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,CRM Consultant,Germany,04-04-2026,Hiring Manager
NinjaConcept GmbH a,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
Industrial Application Software GmbH a,Campaign Manager,Germany,04-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,CRM Engineer,Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Martech Consultant,Germany,04-04-2026,Hiring Manager
etalytics GmbH a,CRM Analyst,Germany,04-04-2026,Hiring Manager
COSOBA GmbH a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
ITL GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
orquidea GmbH a,CRM Consultant,Germany,04-04-2026,Hiring Manager
orquidea GmbH b,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
InteRES GmbH a,Campaign Manager,Germany,04-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,CRM Engineer,Germany,04-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
cosee GmbH a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Martech Consultant,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,CRM Analyst,Germany,04-04-2026,Hiring Manager
Bolinda Labs GmbH a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
codecare software GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
NSK GmbH & Co. KG a,CRM Consultant,Germany,04-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
blink.it a,Campaign Manager,Germany,04-04-2026,Hiring Manager
blink.it b,CRM Engineer,Germany,04-04-2026,Hiring Manager
basysKom GmbH a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
moguru GmbH a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
moguru GmbH b,Martech Consultant,Germany,04-04-2026,Hiring Manager
moguru GmbH c,CRM Analyst,Germany,04-04-2026,Hiring Manager
projectfacts a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
projectfacts b,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
PROSTEP AG a,CRM Consultant,Germany,04-04-2026,Hiring Manager
PROSTEP AG b,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
PROSTEP AG c,Campaign Manager,Germany,04-04-2026,Hiring Manager
PROSTEP AG d,CRM Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG e,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
Cloud Consulting Europe a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
5 POINT AG a,Martech Consultant,Germany,04-04-2026,Hiring Manager
MTG AG a,CRM Analyst,Germany,04-04-2026,Hiring Manager
Netwise Solutions a,Marketing Automation Engineer,Germany,04-04-2026,Hiring Manager
Spark 5 GmbH a,Digital Marketing Consultant,Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,CRM Consultant,Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Marketing Automation Specialist,Germany,04-04-2026,Hiring Manager
PEAK-System Technik GmbH a,Campaign Manager,Germany,04-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,CRM Engineer,Germany,04-04-2026,Hiring Manager
BidX a,Customer Engagement Specialist,Germany,04-04-2026,Hiring Manager
ALL4NET GmbH a,Lifecycle Marketing Specialist,Germany,04-04-2026,Hiring Manager
