company_name,role,country,date,hr_name
prenode GmbH a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
s.a.x. Software GmbH a,Senior Program Manager,Germany,04-04-2026,Hiring Manager
ANALYTICA GmbH a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
Unic GmbH a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
Open Experience GmbH a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
Bee360 a,IT Program Manager,Germany,04-04-2026,Hiring Manager
Consiliari GmbH a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
Softwareschneiderei GmbH a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
Compaile Solutions GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
emediagroup GmbH a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
Codelution GmbH a,Senior Program Manager,Germany,04-04-2026,Hiring Manager
Appmond a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
Navigate AG a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
cluetec GmbH a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
cluetec GmbH b,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,IT Program Manager,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Senior Program Manager,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
INIT a,IT Program Manager,Germany,04-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
ILI.DIGITAL AG a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
Schwenk IT GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
NinjaConcept GmbH a,Senior Program Manager,Germany,04-04-2026,Hiring Manager
Industrial Application Software GmbH a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,IT Program Manager,Germany,04-04-2026,Hiring Manager
etalytics GmbH a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
COSOBA GmbH a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
ITL GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
orquidea GmbH a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
orquidea GmbH b,Senior Program Manager,Germany,04-04-2026,Hiring Manager
InteRES GmbH a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
cosee GmbH a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,IT Program Manager,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
Bolinda Labs GmbH a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
codecare software GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Senior Program Manager,Germany,04-04-2026,Hiring Manager
blink.it a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
blink.it b,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
basysKom GmbH a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
moguru GmbH a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
moguru GmbH b,IT Program Manager,Germany,04-04-2026,Hiring Manager
moguru GmbH c,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
projectfacts a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
projectfacts b,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
PROSTEP AG a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
PROSTEP AG b,Senior Program Manager,Germany,04-04-2026,Hiring Manager
PROSTEP AG c,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
PROSTEP AG d,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
PROSTEP AG e,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
Cloud Consulting Europe a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
5 POINT AG a,IT Program Manager,Germany,04-04-2026,Hiring Manager
MTG AG a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
Netwise Solutions a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
Spark 5 GmbH a,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Senior Program Manager,Germany,04-04-2026,Hiring Manager
PEAK-System Technik GmbH a,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
BidX a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
ALL4NET GmbH a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
acoris AG a,IT Program Manager,Germany,04-04-2026,Hiring Manager
acoris AG b,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
agorate GmbH a,CRM Transformation Lead,Germany,04-04-2026,Hiring Manager
agorate GmbH b,Portfolio Manager (IT),Germany,04-04-2026,Hiring Manager
agorate GmbH c,Salesforce Program Manager,Germany,04-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH a,Senior Program Manager,Germany,04-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH b,Salesforce Delivery Manager,Germany,04-04-2026,Hiring Manager
CircuitByte GmbH a,Digital Transformation Leader,Germany,04-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Salesforce Architect (Functional/Program Level),Germany,04-04-2026,Hiring Manager
Lange IT Solutions a,SAFe Program Manager,Germany,04-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,IT Program Manager,Germany,04-04-2026,Hiring Manager
InterSystems GmbH a,Enterprise Delivery Manager,Germany,04-04-2026,Hiring Manager
