company_name,role,country,date,hr_name
Innoface AG a,D365 Functional Consultant,Germany,04-04-2026,Hiring Manager
Innoface AG b,Microsoft Dynamics Consultant,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,ERP Consultant,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
arconsis a,Functional Consultant ERP,Germany,04-04-2026,Hiring Manager
arconsis b,Dynamics AX Consultant,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,D365 Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Business Systems Analyst ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,ERP Implementation Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Functional Analyst D365,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,ERP Support Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Application Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Procurement Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Logistics Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,ERP Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Systems Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,IT Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,Enterprise Applications Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,D365 Consultant Finance and Operations,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,ERP Solutions Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,D365 Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,Microsoft Dynamics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,ERP Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,Functional Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Dynamics AX Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,D365 Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,Business Systems Analyst ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,ERP Implementation Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH v,Functional Analyst D365,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH w,ERP Support Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH x,Application Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH y,Procurement Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH z,Logistics Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aa,ERP Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ab,Systems Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ac,IT Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ad,Enterprise Applications Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ae,D365 Consultant Finance and Operations,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH af,ERP Solutions Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ag,D365 Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ah,Microsoft Dynamics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ai,ERP Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aj,Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ak,Functional Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH al,Dynamics AX Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH am,D365 Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH an,Business Systems Analyst ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ao,ERP Implementation Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ap,Functional Analyst D365,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aq,ERP Support Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ar,Application Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH as,Procurement Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH at,Logistics Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH au,ERP Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH av,Systems Consultant ERP,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aw,IT Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ax,Enterprise Applications Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ay,D365 Consultant Finance and Operations,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH az,ERP Solutions Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ba,D365 Functional Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bb,Microsoft Dynamics Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bc,ERP Consultant,Germany,04-04-2026,Hiring Manager
DSC Software AG a,Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Functional Consultant ERP,Germany,04-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Dynamics AX Consultant,Germany,04-04-2026,Hiring Manager
MCC Software Engineering a,D365 Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Jamit Labs GmbH a,Business Systems Analyst ERP,Germany,04-04-2026,Hiring Manager
CodeWrights GmbH a,ERP Implementation Consultant,Germany,04-04-2026,Hiring Manager
CodeWrights GmbH b,Functional Analyst D365,Germany,04-04-2026,Hiring Manager
n-komm GmbH a,ERP Support Consultant,Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Application Consultant ERP,Germany,04-04-2026,Hiring Manager
Pharmakon Software GmbH a,Procurement Consultant ERP,Germany,04-04-2026,Hiring Manager
awesome information technology GmbH a,Logistics Consultant ERP,Germany,04-04-2026,Hiring Manager
DATEX Software GmbH a,ERP Analyst,Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Systems Consultant ERP,Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,IT Functional Consultant,Germany,04-04-2026,Hiring Manager
ITstrategen GmbH a,Enterprise Applications Consultant,Germany,04-04-2026,Hiring Manager
ITstrategen GmbH b,D365 Consultant Finance and Operations,Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,ERP Solutions Consultant,Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,D365 Functional Consultant,Germany,04-04-2026,Hiring Manager
BTS Technische Software GmbH a,Microsoft Dynamics Consultant,Germany,04-04-2026,Hiring Manager
adesso SE a,ERP Consultant,Germany,04-04-2026,Hiring Manager
adesso SE b,Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Functional Consultant ERP,Germany,04-04-2026,Hiring Manager
KENBUN IT AG a,Dynamics AX Consultant,Germany,04-04-2026,Hiring Manager
Tooltec IT GmbH a,D365 Supply Chain Consultant,Germany,04-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Business Systems Analyst ERP,Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,ERP Implementation Consultant,Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Functional Analyst D365,Germany,04-04-2026,Hiring Manager
Nesto Software GmbH a,ERP Support Consultant,Germany,04-04-2026,Hiring Manager
PowMio GmbH a,Application Consultant ERP,Germany,04-04-2026,Hiring Manager
AUNOVIS GmbH a,Procurement Consultant ERP,Germany,04-04-2026,Hiring Manager
movisens GmbH a,Logistics Consultant ERP,Germany,04-04-2026,Hiring Manager
movisens GmbH b,ERP Analyst,Germany,04-04-2026,Hiring Manager
ACT Smartware GmbH a,Systems Consultant ERP,Germany,04-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,IT Functional Consultant,Germany,04-04-2026,Hiring Manager
Retis GmbH & Co. KG a,Enterprise Applications Consultant,Germany,04-04-2026,Hiring Manager
NETSYNO Software GmbH a,D365 Consultant Finance and Operations,Germany,04-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,ERP Solutions Consultant,Germany,04-04-2026,Hiring Manager
