company_name,role,country,date,hr_name
LGI Deutschland GmbH c,Operations Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH d,E-commerce Operations Executive,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH e,Logistics Operations Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH f,Customer Support Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH g,Supply Chain Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH h,Business Operations Executive,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH i,Process Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH j,Customer Success Executive,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH k,Operations Coordinator,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH m,Service Delivery Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH n,CRM Operations Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH o,Logistics Coordinator,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH p,Reverse Logistics Specialist,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH q,SLA Analyst,Germany,04-04-2026,Hiring Manager
LGI Deutschland GmbH r,Support Engineer L1 L2,Germany,04-04-2026,Hiring Manager
"SST GmbH, Internationale Spedition a",Customer Experience Analyst,Germany,04-04-2026,Hiring Manager
Tca Globe Freight Logistic Gmbh a,Operations Support Executive,Germany,04-04-2026,Hiring Manager
Crane Worldwide Logistics - Hamburg a,Data Analyst Operations,Germany,04-04-2026,Hiring Manager
Greiwing logistics for you GmbH a,Supply Chain Operations Executive,Germany,04-04-2026,Hiring Manager
SACO SHIPPING LINE a,Business Support Analyst,Germany,04-04-2026,Hiring Manager
Stuhr Container Logistic GmbH & Co. KG Hamburg a,Operations Analyst,Germany,04-04-2026,Hiring Manager
Overlander Shipping Hamburg a,E-commerce Operations Executive,Germany,04-04-2026,Hiring Manager
Adecon Logistics GmbH a,Logistics Operations Analyst,Germany,04-04-2026,Hiring Manager
Mondex Logistik GmbH a,Customer Support Analyst,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics a,Supply Chain Analyst,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics b,Business Operations Executive,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics c,Process Analyst,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics d,Customer Success Executive,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics e,Operations Coordinator,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics f,Service Delivery Analyst,Germany,04-04-2026,Hiring Manager
Steinfurth & Co. GmbH Global Logistics g,CRM Operations Analyst,Germany,04-04-2026,Hiring Manager
Cedar Logistics GmbH a,Logistics Coordinator,Germany,04-04-2026,Hiring Manager
TIS (RF) Logistics a,Reverse Logistics Specialist,Germany,04-04-2026,Hiring Manager
TIS (RF) Logistics b,SLA Analyst,Germany,04-04-2026,Hiring Manager
Frangie Internationale Spedition GmbH a,Support Engineer L1 L2,Germany,04-04-2026,Hiring Manager
"Jerich International - Hamburg, Germany a",Customer Experience Analyst,Germany,04-04-2026,Hiring Manager
nord logistic Speditionsgesellschaft mbH a,Operations Support Executive,Germany,04-04-2026,Hiring Manager
I.T.L. Cargo GmbH Internationale Spedition a,Data Analyst Operations,Germany,04-04-2026,Hiring Manager
Ambar Hamburg GmbH a,Supply Chain Operations Executive,Germany,04-04-2026,Hiring Manager
Cloud Logistics GmbH a,Business Support Analyst,Germany,04-04-2026,Hiring Manager
Cross Freight Internationale Speditionsges. mbH a,Operations Analyst,Germany,04-04-2026,Hiring Manager
Euroway International Logistics GmbH a,E-commerce Operations Executive,Germany,04-04-2026,Hiring Manager
Euroway International Logistics GmbH b,Logistics Operations Analyst,Germany,04-04-2026,Hiring Manager
