company_name,role,country,date,hr_name
Innoface AG a,Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
Innoface AG b,Senior Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Head of Digital Marketing,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Social Media Manager,Germany,04-04-2026,Hiring Manager
arconsis a,Brand Manager,Germany,04-04-2026,Hiring Manager
arconsis b,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Marketing Communications Manager,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Digital Strategy Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Growth Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Performance Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Corporate Communications Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Online Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Digital Campaign Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Marketing Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Brand Strategy Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Marketing Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,Digital Transformation Manager Marketing,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Marketing Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Digital Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Head of Digital Marketing,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Social Media Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,Brand Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,Marketing Communications Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,Digital Strategy Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,Growth Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH v,Performance Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH w,Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH x,Corporate Communications Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH y,Online Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH z,Digital Campaign Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aa,Marketing Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ab,Brand Strategy Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ac,Marketing Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ad,Digital Transformation Manager Marketing,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ae,Marketing Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH af,Digital Engagement Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ag,Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ah,Senior Digital Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ai,Head of Digital Marketing,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aj,Social Media Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ak,Brand Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH al,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH am,Marketing Communications Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH an,Digital Strategy Manager,Germany,04-04-2026,Hiring Manager
