company_name,role,country,date,hr_name
Fenrix GmbH a,Automotive Operations Executive,Germany,04-04-2026,Hiring Manager
Brose Wolfsburg - Brose Fahrzeugteile a,Workshop Coordinator,Germany,04-04-2026,Hiring Manager
EDAG Engineering GmbH a,Service Advisor,Germany,04-04-2026,Hiring Manager
TQS Trade Quality Service GmbH a,Automotive Service Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH a,Aftermarket Operations Specialist,Germany,04-04-2026,Hiring Manager
DIAS Automotive Engineering a,Spare Parts Coordinator,Germany,04-04-2026,Hiring Manager
P3 group Wolfsburg a,Procurement Engineer (Automotive),Germany,04-04-2026,Hiring Manager
VW-Kraftwerk a,Inventory Analyst (Automotive),Germany,04-04-2026,Hiring Manager
Autostadt a,Vehicle Service Executive,Germany,04-04-2026,Hiring Manager
IZB Auto Show a,Fleet Operations Executive,Germany,04-04-2026,Hiring Manager
Togg Europe GmbH a,Workshop Manager (Junior),Germany,04-04-2026,Hiring Manager
SEG Automotive a,Automotive Service Consultant,Germany,04-04-2026,Hiring Manager
MAO Automotive GmbH & Co. KG a,Parts Advisor,Germany,04-04-2026,Hiring Manager
FAP Automotive GmbH a,Service Operations Executive,Germany,04-04-2026,Hiring Manager
YFORE Technology Germany GmbH a,Automotive Supply Chain Coordinator,Germany,04-04-2026,Hiring Manager
YFORE Technology Germany GmbH b,Technical Service Advisor,Germany,04-04-2026,Hiring Manager
YFORE Technology Germany GmbH c,Customer Service Manager (Automotive),Germany,04-04-2026,Hiring Manager
Klara Seating GmbH ( Klara Seats) a,Repair Operations Coordinator,Germany,04-04-2026,Hiring Manager
Kienzle Automotive GmbH a,Vehicle Inspection Engineer,Germany,04-04-2026,Hiring Manager
Kienzle Automotive GmbH b,Automotive Operations Analyst,Germany,04-04-2026,Hiring Manager
AMK Automotive GmbH & Co. KG a,Automotive Operations Executive,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH a,Workshop Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH b,Service Advisor,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH c,Automotive Service Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH d,Aftermarket Operations Specialist,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH e,Spare Parts Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU GmbH f,Procurement Engineer (Automotive),Germany,04-04-2026,Hiring Manager
MOTORWORLD Region Stuttgart a,Inventory Analyst (Automotive),Germany,04-04-2026,Hiring Manager
MOTORWORLD Region Stuttgart b,Vehicle Service Executive,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH a,Fleet Operations Executive,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH b,Workshop Manager (Junior),Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH c,Automotive Service Consultant,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH d,Parts Advisor,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH e,Service Operations Executive,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH f,Automotive Supply Chain Coordinator,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH g,Technical Service Advisor,Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH h,Customer Service Manager (Automotive),Germany,04-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH i,Repair Operations Coordinator,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH a,Vehicle Inspection Engineer,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH b,Automotive Operations Analyst,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH c,Automotive Operations Executive,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH d,Workshop Coordinator,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH e,Service Advisor,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH f,Automotive Service Coordinator,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH g,Aftermarket Operations Specialist,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH h,Spare Parts Coordinator,Germany,04-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH i,Procurement Engineer (Automotive),Germany,04-04-2026,Hiring Manager
Munich Electrification a,Inventory Analyst (Automotive),Germany,04-04-2026,Hiring Manager
Schaeffler (former Vitesco Technologies) a,Vehicle Service Executive,Germany,04-04-2026,Hiring Manager
Dynamic Automotive Europe GmbH a,Fleet Operations Executive,Germany,04-04-2026,Hiring Manager
Chair of Automotive Technology a,Workshop Manager (Junior),Germany,04-04-2026,Hiring Manager
B.B.W. Automotive GmbH a,Automotive Service Consultant,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH b,Parts Advisor,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH c,Service Operations Executive,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH d,Automotive Supply Chain Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH e,Technical Service Advisor,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH f,Customer Service Manager (Automotive),Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH g,Repair Operations Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH h,Vehicle Inspection Engineer,Germany,04-04-2026,Hiring Manager
IDEAL Automotive Ingolstadt GmbH a,Automotive Operations Analyst,Germany,04-04-2026,Hiring Manager
GUMPERT AUTOMOBILE GmbH a,Automotive Operations Executive,Germany,04-04-2026,Hiring Manager
Automotive Stefani GmbH & Co. KG a,Workshop Coordinator,Germany,04-04-2026,Hiring Manager
PSW automotive engineering GmbH a,Service Advisor,Germany,04-04-2026,Hiring Manager
Race Car Manufaktur GmbH a,Automotive Service Coordinator,Germany,04-04-2026,Hiring Manager
Schabmüller Automotive GmbH a,Aftermarket Operations Specialist,Germany,04-04-2026,Hiring Manager
AUDI AG - GVZ Halle B a,Spare Parts Coordinator,Germany,04-04-2026,Hiring Manager
AUDI AG - GVZ Halle B b,Procurement Engineer (Automotive),Germany,04-04-2026,Hiring Manager
ESAS automotive GmbH a,Inventory Analyst (Automotive),Germany,04-04-2026,Hiring Manager
ATS Industrial Automation GmbH & Co. KG a,Vehicle Service Executive,Germany,04-04-2026,Hiring Manager
MW GmbH a,Fleet Operations Executive,Germany,04-04-2026,Hiring Manager
ZD Automotive GmbH a,Workshop Manager (Junior),Germany,04-04-2026,Hiring Manager
ABC Automobil-Formteile GmbH a,Automotive Service Consultant,Germany,04-04-2026,Hiring Manager
MOSOLF Automotive Releasing Solutions GmbH (MARS GmbH) a,Parts Advisor,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 a,Service Operations Executive,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 b,Automotive Supply Chain Coordinator,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 c,Technical Service Advisor,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 d,Customer Service Manager (Automotive),Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 e,Repair Operations Coordinator,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 f,Vehicle Inspection Engineer,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 g,Automotive Operations Analyst,Germany,04-04-2026,Hiring Manager
Ronsdorfer straße 145 h,Automotive Operations Executive,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH i,Workshop Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH j,Service Advisor,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH k,Automotive Service Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH l,Aftermarket Operations Specialist,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH m,Spare Parts Coordinator,Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH n,Procurement Engineer (Automotive),Germany,04-04-2026,Hiring Manager
FERCHAU Automotive GmbH o,Inventory Analyst (Automotive),Germany,04-04-2026,Hiring Manager
AUMA Riester GmbH & Co. KG a,Vehicle Service Executive,Germany,04-04-2026,Hiring Manager
Automotive COLOGNE a,Fleet Operations Executive,Germany,04-04-2026,Hiring Manager
ThyssenKrupp Automotive Systems GmbH a,Workshop Manager (Junior),Germany,04-04-2026,Hiring Manager
BMW Group Werk Leipzig a,Automotive Service Consultant,Germany,04-04-2026,Hiring Manager
BMW Group Werk Leipzig b,Parts Advisor,Germany,04-04-2026,Hiring Manager
BMW Group Werk Leipzig c,Service Operations Executive,Germany,04-04-2026,Hiring Manager
Eurotech Automotive GmbH & Co. KG a,Automotive Supply Chain Coordinator,Germany,04-04-2026,Hiring Manager
IOT – Innovative Oberflächentechnologien GmbH a,Technical Service Advisor,Germany,04-04-2026,Hiring Manager
Aircraft Philipp a,Customer Service Manager (Automotive),Germany,04-04-2026,Hiring Manager
