company_name,role,country,date,hr_name
Innoface AG a,Engineering Manager,Germany,04-04-2026,Hiring Manager
Innoface AG b,Frontend Engineering Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Technical Lead,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Project Lead (Software),Germany,04-04-2026,Hiring Manager
arconsis a,Software Engineering Manager,Germany,04-04-2026,Hiring Manager
arconsis b,Principal Frontend Engineer,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Platform Engineering Lead,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,SaaS Engineering Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Technical Architect (Frontend),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Engineering Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Engineering Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Frontend Engineering Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Technical Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Project Lead (Software),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Software Engineering Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Principal Frontend Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Platform Engineering Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,SaaS Engineering Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Technical Architect (Frontend),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Engineering Delivery Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Engineering Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,Frontend Engineering Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Technical Lead,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Project Lead (Software),Germany,04-04-2026,Hiring Manager
