company_name,role,country,date,hr_name
Volkswagen Center Karlsruhe GmbH - _x009b_,Embedded Software Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - _x009d_,Embedded Test Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - _x009e_,Automotive Software Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - _x009f_,Release Manager,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¢,Software Integration Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - £,Validation Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¤,Embedded QA Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¦,AUTOSAR Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - §,Software Test Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¨,Technical Lead - Embedded Systems,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ©,Embedded Software Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - «,Embedded Test Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¬,Automotive Software Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ­,Release Manager,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ®,Software Integration Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ¯,Validation Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ±,Embedded QA Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - ´,AUTOSAR Engineer,Germany,17-04-2026,Hiring Manager
Volkswagen Center Karlsruhe GmbH - µ,Software Test Engineer,Germany,17-04-2026,Hiring Manager
ISENMANN Siebe GmbH,Technical Lead - Embedded Systems,Germany,17-04-2026,Hiring Manager
Auto Nitsche,Embedded Software Engineer,Germany,17-04-2026,Hiring Manager
Autohaus Lang,Embedded Test Engineer,Germany,17-04-2026,Hiring Manager
"MINT GmbH - Werkzeuge, Messtechnik, Automation",Automotive Software Engineer,Germany,17-04-2026,Hiring Manager
Die Top-Pflege für Ihr Auto,Release Manager,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - d,Software Integration Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - o,Validation Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - p,Embedded QA Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - w,AUTOSAR Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - z,Software Test Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - },Technical Lead - Embedded Systems,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - _x0080_,Embedded Software Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - _x0082_,Embedded Test Engineer,Germany,17-04-2026,Hiring Manager
Seat | Cupra Autohaus del Sol Karlsruhe | Graf Hardenberg Gruppe - _x008d_,Automotive Software Engineer,Germany,17-04-2026,Hiring Manager
FERCHAU GmbH - f,Release Manager,Germany,17-04-2026,Hiring Manager
FERCHAU GmbH - g,Software Integration Engineer,Germany,17-04-2026,Hiring Manager
FERCHAU GmbH - h,Validation Engineer,Germany,17-04-2026,Hiring Manager
FERCHAU GmbH - i,Embedded QA Engineer,Germany,17-04-2026,Hiring Manager
Rosenbauer Karlsruhe GmbH,AUTOSAR Engineer,Germany,17-04-2026,Hiring Manager
Rosenbauer Karlsruhe GmbH - a,Software Test Engineer,Germany,17-04-2026,Hiring Manager
