company_name,role,country,date,hr_name
"Avalenz, Germany Office",HR Executive,Germany,20-04-2026,Hiring Manager
P&T Software GmbH - Software agency for individual B2B solutions,HR Operations Specialist,Germany,20-04-2026,Hiring Manager
Mirantis Germany GmbH,HR Generalist,Germany,20-04-2026,Hiring Manager
Deltologic (Germany),HR Coordinator,Germany,20-04-2026,Hiring Manager
Key Devs- Software House in Germany,HR Administrator,Germany,20-04-2026,Hiring Manager
Intertec.io - Software Development Company in Munich,People Operations Executive,Germany,20-04-2026,Hiring Manager
TechNow | Software Entwicklung und IT-Support in Berlin,Talent Acquisition Coordinator,Germany,20-04-2026,Hiring Manager
DevConsult Berlin - Software Agentur,Recruitment Coordinator,Germany,20-04-2026,Hiring Manager
EsPresto AG,HR Analyst,Germany,20-04-2026,Hiring Manager
Heringer Consulting GmbH,Payroll Executive,Germany,20-04-2026,Hiring Manager
Cavorit Consulting GmbH,HR Assistant,Germany,20-04-2026,Hiring Manager
Packit Code - a,HR Business Support,Germany,20-04-2026,Hiring Manager
Voypost,Employee Relations Executive,Germany,20-04-2026,Hiring Manager
