company_name,role,country,date,hr_name
orquidea GmbH a,Visual Designer,Germany,20-04-2026,Hiring Manager
orquidea GmbH b,Graphic Designer,Germany,20-04-2026,Hiring Manager
InteRES GmbH a,Brand Designer,Germany,20-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Visual Communication Designer,Germany,20-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,UI UX Designer,Germany,20-04-2026,Hiring Manager
cosee GmbH a,Product Designer,Germany,20-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Creative Designer,Germany,20-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Marketing Designer,Germany,20-04-2026,Hiring Manager
Bolinda Labs GmbH a,Digital Designer,Germany,20-04-2026,Hiring Manager
codecare software GmbH a,Email Marketing Designer,Germany,20-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Brand Identity Designer,Germany,20-04-2026,Hiring Manager
SOFTTAILOR GmbH a,UX Designer,Germany,20-04-2026,Hiring Manager
blink.it a,UI Designer,Germany,20-04-2026,Hiring Manager
blink.it b,Design Specialist,Germany,20-04-2026,Hiring Manager
basysKom GmbH a,Creative Strategist,Germany,20-04-2026,Hiring Manager
moguru GmbH a,Communication Designer,Germany,20-04-2026,Hiring Manager
moguru GmbH b,Packaging Designer,Germany,20-04-2026,Hiring Manager
moguru GmbH c,Visual Content Designer,Germany,20-04-2026,Hiring Manager
projectfacts a,Brand Strategist,Germany,20-04-2026,Hiring Manager
projectfacts b,Multimedia Designer,Germany,20-04-2026,Hiring Manager
PROSTEP AG a,Visual Designer,Germany,20-04-2026,Hiring Manager
PROSTEP AG b,Graphic Designer,Germany,20-04-2026,Hiring Manager
PROSTEP AG c,Brand Designer,Germany,20-04-2026,Hiring Manager
PROSTEP AG d,Visual Communication Designer,Germany,20-04-2026,Hiring Manager
PROSTEP AG e,UI UX Designer,Germany,20-04-2026,Hiring Manager
Cloud Consulting Europe a,Product Designer,Germany,20-04-2026,Hiring Manager
5 POINT AG a,Creative Designer,Germany,20-04-2026,Hiring Manager
MTG AG a,Marketing Designer,Germany,20-04-2026,Hiring Manager
Netwise Solutions a,Digital Designer,Germany,20-04-2026,Hiring Manager
Spark 5 GmbH a,Email Marketing Designer,Germany,20-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,Brand Identity Designer,Germany,20-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,UX Designer,Germany,20-04-2026,Hiring Manager
PEAK-System Technik GmbH a,UI Designer,Germany,20-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Design Specialist,Germany,20-04-2026,Hiring Manager
BidX a,Creative Strategist,Germany,20-04-2026,Hiring Manager
ALL4NET GmbH a,Communication Designer,Germany,20-04-2026,Hiring Manager
acoris AG a,Packaging Designer,Germany,20-04-2026,Hiring Manager
acoris AG b,Visual Content Designer,Germany,20-04-2026,Hiring Manager
agorate GmbH a,Brand Strategist,Germany,20-04-2026,Hiring Manager
agorate GmbH b,Multimedia Designer,Germany,20-04-2026,Hiring Manager
agorate GmbH c,Visual Designer,Germany,20-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH a,Graphic Designer,Germany,20-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH b,Brand Designer,Germany,20-04-2026,Hiring Manager
CircuitByte GmbH a,Visual Communication Designer,Germany,20-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,UI UX Designer,Germany,20-04-2026,Hiring Manager
Lange IT Solutions a,Product Designer,Germany,20-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Creative Designer,Germany,20-04-2026,Hiring Manager
InterSystems GmbH a,Marketing Designer,Germany,20-04-2026,Hiring Manager
PROFI Engineering Systems AG a,Digital Designer,Germany,20-04-2026,Hiring Manager
Adiccon GmbH a,Email Marketing Designer,Germany,20-04-2026,Hiring Manager
wer denkt was GmbH a,Brand Identity Designer,Germany,20-04-2026,Hiring Manager
wer denkt was GmbH b,UX Designer,Germany,20-04-2026,Hiring Manager
wibas GmbH a,UI Designer,Germany,20-04-2026,Hiring Manager
wibas GmbH b,Design Specialist,Germany,20-04-2026,Hiring Manager
UMGIS computer science GmbH a,Creative Strategist,Germany,20-04-2026,Hiring Manager
AONIC GmbH a,Communication Designer,Germany,20-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Packaging Designer,Germany,20-04-2026,Hiring Manager
code council GmbH a,Visual Content Designer,Germany,20-04-2026,Hiring Manager
nterra integration GmbH a,Brand Strategist,Germany,20-04-2026,Hiring Manager
setis GmbH a,Multimedia Designer,Germany,20-04-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Visual Designer,Germany,20-04-2026,Hiring Manager
teambits a,Visual Communication Designer,Germany,20-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,UI UX Designer,Germany,20-04-2026,Hiring Manager
Future-App a,Product Designer,Germany,20-04-2026,Hiring Manager
Mulan IT Solutions a,Creative Designer,Germany,20-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Marketing Designer,Germany,20-04-2026,Hiring Manager
IBS Consult a,Digital Designer,Germany,20-04-2026,Hiring Manager
IBS Consult b,Email Marketing Designer,Germany,20-04-2026,Hiring Manager
ISRA VISION GmbH a,Brand Identity Designer,Germany,20-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,UX Designer,Germany,20-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,UI Designer,Germany,20-04-2026,Hiring Manager
Plan Software GmbH a,Design Specialist,Germany,20-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Creative Strategist,Germany,20-04-2026,Hiring Manager
EUROKEY Software GmbH a,Communication Designer,Germany,20-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Visual Content Designer,Germany,20-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Brand Strategist,Germany,20-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Multimedia Designer,Germany,20-04-2026,Hiring Manager
detacon GmbH a,Visual Designer,Germany,20-04-2026,Hiring Manager
Is Predict GmbH a,Graphic Designer,Germany,20-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Brand Designer,Germany,20-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Visual Communication Designer,Germany,20-04-2026,Hiring Manager
itechx GmbH a,UI UX Designer,Germany,20-04-2026,Hiring Manager
iX-tech GmbH a,Product Designer,Germany,20-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Creative Designer,Germany,20-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Marketing Designer,Germany,20-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Digital Designer,Germany,20-04-2026,Hiring Manager
PFPRO IT Services a,Email Marketing Designer,Germany,20-04-2026,Hiring Manager
INFOSERVE GmbH a,Brand Identity Designer,Germany,20-04-2026,Hiring Manager
PIKON Deutschland AG a,UX Designer,Germany,20-04-2026,Hiring Manager
Eyeled GmbH a,UI Designer,Germany,20-04-2026,Hiring Manager
merios - it-solutions GmbH a,Design Specialist,Germany,20-04-2026,Hiring Manager
merios - it-solutions GmbH b,Creative Strategist,Germany,20-04-2026,Hiring Manager
Intex EDV-Software GmbH a,Communication Designer,Germany,20-04-2026,Hiring Manager
Moltomedia GmbH a,Packaging Designer,Germany,20-04-2026,Hiring Manager
Site Point GmbH a,Visual Content Designer,Germany,20-04-2026,Hiring Manager
Bonanza Software GmbH a,Brand Strategist,Germany,20-04-2026,Hiring Manager
Basis Europe GmbH a,Multimedia Designer,Germany,20-04-2026,Hiring Manager
