company_name,role,country,date,hr_name
HANSA-FLEX AG - Business Unit 05,Mechanical Design Engineer,Germany,20-04-2026,Hiring Manager
AMBEG Dr. J. Dichter GmbH,Senior Mechanical Engineer,Germany,20-04-2026,Hiring Manager
Silica Verfahrenstechnik GmbH,CAD Design Engineer,Germany,20-04-2026,Hiring Manager
F.U.R. Wickeltechnologie,Product Design Engineer,Germany,20-04-2026,Hiring Manager
CSE GmbH Maschinenbau und Automatisierung,Design Engineer (Mechanical),Germany,20-04-2026,Hiring Manager
Konstruktiv GmbH,Rotating Equipment Engineer,Germany,20-04-2026,Hiring Manager
i4 Automation & Engineering GmbH,Tool Design Engineer,Germany,20-04-2026,Hiring Manager
PROCAM Steuerungstechnik GmbH - Business Unit 01,Industrial Design Engineer,Germany,20-04-2026,Hiring Manager
PROCAM Steuerungstechnik GmbH - Business Unit 02,Manufacturing Design Engineer,Germany,20-04-2026,Hiring Manager
Fredebold Sondermaschinen GmbH - Business Unit 01,Mechanical Design Engineer,Germany,20-04-2026,Hiring Manager
Fredebold Sondermaschinen GmbH - Business Unit 02,Senior Mechanical Engineer,Germany,20-04-2026,Hiring Manager
boschen & oetting Automatisierungs-Bau GmbH Automatisierungstechnik - Business Unit 01,CAD Design Engineer,Germany,20-04-2026,Hiring Manager
