company_name,role,country,date,hr_name
Datamesh a,SAP MM Consultant,Germany,20-04-2026,Hiring Manager
fidion GmbH Die Softwareschmiede in Franken a,SAP PP Consultant,Germany,20-04-2026,Hiring Manager
IT-Projektschmiede a,SAP Functional Consultant,Germany,20-04-2026,Hiring Manager
Noxum GmbH a,SAP S/4HANA Consultant,Germany,20-04-2026,Hiring Manager
Noxum GmbH b,SAP Procurement Consultant,Germany,20-04-2026,Hiring Manager
Lorey Computer - Malersoftware - Dachdeckersoftware a,SAP Supply Chain Consultant,Germany,20-04-2026,Hiring Manager
Hampel Software Engineering a,SAP Production Planning Consultant,Germany,20-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG a,SAP Materials Management Consultant,Germany,20-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG b,SAP Manufacturing Consultant,Germany,20-04-2026,Hiring Manager
WVV iT solutions a,SAP Support Consultant,Germany,20-04-2026,Hiring Manager
solvatio AG a,SAP Implementation Consultant,Germany,20-04-2026,Hiring Manager
webfactor media GmbH a,SAP Business Analyst,Germany,20-04-2026,Hiring Manager
IT-QC GmbH a,SAP MM/PP Consultant,Germany,20-04-2026,Hiring Manager
cDev GmbH a,SAP Integration Consultant,Germany,20-04-2026,Hiring Manager
