company_name,role,country,date,hr_name
ITmedia GmbH a,Middleware Engineer,Germany,20-04-2026,Hiring Manager
2-Sigma-GmbH a,WebSphere Administrator,Germany,20-04-2026,Hiring Manager
init consulting AG a,IBM Middleware Engineer,Germany,20-04-2026,Hiring Manager
Schubert & Salzer Control Systems GmbH a,Application Server Engineer,Germany,20-04-2026,Hiring Manager
FutureTools GmbH a,DevOps Engineer (Middleware),Germany,20-04-2026,Hiring Manager
it-neX Software GmbH a,Infrastructure Engineer (Middleware),Germany,20-04-2026,Hiring Manager
Consipio Software Engineering GmbH a,WebLogic Administrator,Germany,20-04-2026,Hiring Manager
bookmanSolutions GmbH a,Platform Engineer,Germany,20-04-2026,Hiring Manager
IT Works GmbH a,Site Reliability Engineer (SRE),Germany,20-04-2026,Hiring Manager
solid IT GmbH a,Production Support Engineer,Germany,20-04-2026,Hiring Manager
KLW GmbH a,Middleware Engineer,Germany,20-04-2026,Hiring Manager
Phalanx-IT GmbH a,WebSphere Administrator,Germany,20-04-2026,Hiring Manager
Tecsee GmbH a,IBM Middleware Engineer,Germany,20-04-2026,Hiring Manager
