company_name,role,country,date,hr_name
Compaile Solutions GmbH a,Full Stack Developer,Germany,20-04-2026,Hiring Manager
emediagroup GmbH a,Software Engineer,Germany,20-04-2026,Hiring Manager
Codelution GmbH a,Web Developer,Germany,20-04-2026,Hiring Manager
Appmond a,Java Full Stack Developer,Germany,20-04-2026,Hiring Manager
Navigate AG a,MERN Stack Developer,Germany,20-04-2026,Hiring Manager
cluetec GmbH a,Backend Developer,Germany,20-04-2026,Hiring Manager
cluetec GmbH b,Frontend Developer,Germany,20-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,React Developer,Germany,20-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Node.js Developer,Germany,20-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Java Developer,Germany,20-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,API Developer,Germany,20-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Application Developer,Germany,20-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Software Development Engineer,Germany,20-04-2026,Hiring Manager
