company_name,role,country,date,hr_name
Volksbank Köln Bonn eG - Private Banking w,AML Analyst,Germany,06-04-2026,Hiring Manager
Volksbank Köln Bonn eG - Private Banking x,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
A.B.S. Global Factoring AG a,Risk Analyst,Germany,06-04-2026,Hiring Manager
Quirin Privatbank AG Wiesbaden a,Compliance Analyst,Germany,06-04-2026,Hiring Manager
Economic and infrastructure Hessen (WIBank) a,KYC Analyst,Germany,06-04-2026,Hiring Manager
Economic and infrastructure Hessen (WIBank) b,Transaction Monitoring Analyst,Germany,06-04-2026,Hiring Manager
TARGOBANK b,Fraud Analyst,Germany,06-04-2026,Hiring Manager
Santander a,Risk & Compliance Specialist,Germany,06-04-2026,Hiring Manager
Deutsche Bank Filiale c,FinCrime Specialist,Germany,06-04-2026,Hiring Manager
Creditplus Bank AG - Filiale Leipzig a,Regulatory Analyst,Germany,06-04-2026,Hiring Manager
Evergreen GmbH a,AML Analyst,Germany,06-04-2026,Hiring Manager
Bankshop Leipzig a,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
Bankshop Leipzig b,Risk Analyst,Germany,06-04-2026,Hiring Manager
CEB Bankshop AG - Vermittlung von Bankdienstleistungen a,Compliance Analyst,Germany,06-04-2026,Hiring Manager
VB Select AG a,KYC Analyst,Germany,06-04-2026,Hiring Manager
DZ BANK AG a,Transaction Monitoring Analyst,Germany,06-04-2026,Hiring Manager
Michael Müller Finanzberatung a,Fraud Analyst,Germany,06-04-2026,Hiring Manager
Deutsche Bank Filiale d,Risk & Compliance Specialist,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG a,FinCrime Specialist,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG b,Regulatory Analyst,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG c,AML Analyst,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG d,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG e,Risk Analyst,Germany,06-04-2026,Hiring Manager
European Energy Exchange AG f,Compliance Analyst,Germany,06-04-2026,Hiring Manager
CFH Beteiligungsgesellschaft mbH a,KYC Analyst,Germany,06-04-2026,Hiring Manager
Leipziger Volksbank eG k,Transaction Monitoring Analyst,Germany,06-04-2026,Hiring Manager
Leipziger Volksbank eG l,Fraud Analyst,Germany,06-04-2026,Hiring Manager
Leipziger Volksbank eG m,Risk & Compliance Specialist,Germany,06-04-2026,Hiring Manager
Nico Lippert - Finanzplaner - Leipzig a,FinCrime Specialist,Germany,06-04-2026,Hiring Manager
Bausparkasse Schwäbisch Hall AG - Rudi Wiedemann a,Regulatory Analyst,Germany,06-04-2026,Hiring Manager
Bausparkasse Schwäbisch Hall AG - Rudi Wiedemann b,AML Analyst,Germany,06-04-2026,Hiring Manager
Bausparkasse Schwäbisch Hall AG - Rudi Wiedemann c,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
TauRes-Repräsentanz Leipzig a,Risk Analyst,Germany,06-04-2026,Hiring Manager
Postbank Immobilien GmbH Markus Kolbe a,Compliance Analyst,Germany,06-04-2026,Hiring Manager
Postbank Immobilien GmbH Markus Kolbe b,KYC Analyst,Germany,06-04-2026,Hiring Manager
Postbank Immobilien GmbH Markus Kolbe c,Transaction Monitoring Analyst,Germany,06-04-2026,Hiring Manager
Postbank Immobilien GmbH Markus Kolbe d,Fraud Analyst,Germany,06-04-2026,Hiring Manager
Postbank Immobilien GmbH Markus Kolbe e,Risk & Compliance Specialist,Germany,06-04-2026,Hiring Manager
Bausparkasse Schwäbisch Hall AG - Falk Schinkitz a,FinCrime Specialist,Germany,06-04-2026,Hiring Manager
Bastian Bäuml - Versicherungsmakler für Lehrerinnen & Lehrer a,Regulatory Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung e,AML Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung f,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung g,Risk Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung h,Compliance Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung i,KYC Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung j,Transaction Monitoring Analyst,Germany,06-04-2026,Hiring Manager
Baufi24 Baufinanzierung k,Fraud Analyst,Germany,06-04-2026,Hiring Manager
BNP Paribas Real Estate a,Risk & Compliance Specialist,Germany,06-04-2026,Hiring Manager
Public Value Hub gUG (haftungsbeschränkt) a,FinCrime Specialist,Germany,06-04-2026,Hiring Manager
Technologiegründerfonds Sachsen Management GmbH & Co. KG a,Regulatory Analyst,Germany,06-04-2026,Hiring Manager
SpinLab - The HHL Accelerator a,AML Analyst,Germany,06-04-2026,Hiring Manager
Deutsche Ärzte Finanz - Repräsentanz Randy Mackeldey-Knöfel a,Financial Crime Analyst,Germany,06-04-2026,Hiring Manager
