company_name,role,country,date,hr_name
PROSTEP AG b,Growth Marketing Manager,Germany,20-04-2026,Hiring Manager
PROSTEP AG c,Performance Marketing Manager,Germany,20-04-2026,Hiring Manager
PROSTEP AG d,Digital Marketing Manager,Germany,20-04-2026,Hiring Manager
PROSTEP AG e,Marketing Head,Germany,20-04-2026,Hiring Manager
Cloud Consulting Europe a,CRM Marketing Manager,Germany,20-04-2026,Hiring Manager
5 POINT AG a,Acquisition Manager,Germany,20-04-2026,Hiring Manager
MTG AG a,Media Planning Manager,Germany,20-04-2026,Hiring Manager
Netwise Solutions a,Marketing Strategy Lead,Germany,20-04-2026,Hiring Manager
Spark 5 GmbH a,Customer Growth Manager,Germany,20-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,Brand & Performance Marketing Lead,Germany,20-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Growth Marketing Manager,Germany,20-04-2026,Hiring Manager
PEAK-System Technik GmbH a,Performance Marketing Manager,Germany,20-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Digital Marketing Manager,Germany,20-04-2026,Hiring Manager
BidX a,Marketing Head,Germany,20-04-2026,Hiring Manager
ALL4NET GmbH a,CRM Marketing Manager,Germany,20-04-2026,Hiring Manager
