company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Marketing Executive,Germany,06-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
IBS Consult a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
IBS Consult b,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
ISRA VISION GmbH a,Marketing Executive,Germany,06-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
Plan Software GmbH a,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
EUROKEY Software GmbH a,Campaign Manager,Germany,06-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
detacon GmbH a,Marketing Executive,Germany,06-04-2026,Hiring Manager
Is Predict GmbH a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
itechx GmbH a,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
iX-tech GmbH a,Campaign Manager,Germany,06-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
PFPRO IT Services a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
INFOSERVE GmbH a,Marketing Executive,Germany,06-04-2026,Hiring Manager
PIKON Deutschland AG a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
Eyeled GmbH a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
merios - it-solutions GmbH a,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
merios - it-solutions GmbH b,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
Intex EDV-Software GmbH a,Campaign Manager,Germany,06-04-2026,Hiring Manager
Moltomedia GmbH a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
Site Point GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
Bonanza Software GmbH a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
Basis Europe GmbH a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,Marketing Executive,Germany,06-04-2026,Hiring Manager
adesso SE c,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
Wenobis IT GmbH a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
Talentmore AG a,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
Talentmore AG b,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
Talentmore AG c,Campaign Manager,Germany,06-04-2026,Hiring Manager
peloba GmbH a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
PREVISIONZ GmbH a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
Natif.ai a,Marketing Executive,Germany,06-04-2026,Hiring Manager
Gast Solutions a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
softgarden e-recruiting GmbH a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
Max Planck Institute for Software Systems a,Campaign Manager,Germany,06-04-2026,Hiring Manager
BSNSoft Solutions GmbH a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
MBSol Internet Solutions a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
e.Consult AG a,Marketing Executive,Germany,06-04-2026,Hiring Manager
e.Consult AG b,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
ITMT - IT Media Thomé a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
ITMT - IT Media Thomé b,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
AGILOS GmbH a,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
3S Technologies GmbH a,Campaign Manager,Germany,06-04-2026,Hiring Manager
3S Technologies GmbH b,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
vensas GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
TUXGUARD GmbH a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,Marketing Executive,Germany,06-04-2026,Hiring Manager
K|Lens GmbH a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
abat+ GmbH a,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
abat+ GmbH b,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
abat+ GmbH c,Campaign Manager,Germany,06-04-2026,Hiring Manager
abat+ GmbH d,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
abat+ GmbH e,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
abat+ GmbH f,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
abat+ GmbH g,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
sequire technology GmbH a,Marketing Executive,Germany,06-04-2026,Hiring Manager
Saarland Informatics Campus a,B2B Marketing Specialist,Germany,06-04-2026,Hiring Manager
emplify software GmbH a,Demand Generation Executive,Germany,06-04-2026,Hiring Manager
emplify software GmbH b,Digital Marketing Executive,Germany,06-04-2026,Hiring Manager
Axians Cloud & IT-Automation GmbH - Cloud & Managed Services Anbieter in Ulm a,Marketing Automation Specialist,Germany,06-04-2026,Hiring Manager
PeWa-Software a,Campaign Manager,Germany,06-04-2026,Hiring Manager
we.Beyond IT® | IT Systemhaus Ulm a,Content Marketing Executive,Germany,06-04-2026,Hiring Manager
Public Cloud Group GmbH a,Email Marketing Specialist,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Ulm a,Growth Marketing Executive,Germany,06-04-2026,Hiring Manager
Systemhaus Ulm GmbH a,Field Marketing Executive,Germany,06-04-2026,Hiring Manager
