company_name,role,country,date,hr_name
BAYAZID Innenausbau GmbH a,Architect,Germany,06-04-2026,Hiring Manager
"Max Jung, GmbH. & Co. f",Sustainable Architect,Germany,06-04-2026,Hiring Manager
"Max Jung, GmbH. & Co. g",Project Architect,Germany,06-04-2026,Hiring Manager
"Max Jung, GmbH. & Co. h",Architectural Designer,Germany,06-04-2026,Hiring Manager
Sit München GmbH & Co. KG a,Urban Designer,Germany,06-04-2026,Hiring Manager
Hachinger Bau GmbH a,Green Building Consultant,Germany,06-04-2026,Hiring Manager
Kuchler GmbH Kanalsanierung und Entsorgung a,Design Architect,Germany,06-04-2026,Hiring Manager
Faistauer GmbH a,Junior Architect,Germany,06-04-2026,Hiring Manager
Baukreation GmbH - Bauunternehmen a,Environmental Design Specialist,Germany,06-04-2026,Hiring Manager
REUTHER a,Architectural Consultant,Germany,06-04-2026,Hiring Manager
Phoenix Construction GmbH a,Architect,Germany,06-04-2026,Hiring Manager
Klaus Klein Straßenbau GmbH a,Sustainable Architect,Germany,06-04-2026,Hiring Manager
Klaus Klein Straßenbau GmbH b,Project Architect,Germany,06-04-2026,Hiring Manager
Bender Bau GmbH a,Architectural Designer,Germany,06-04-2026,Hiring Manager
RC BETON BAU SRL a,Urban Designer,Germany,06-04-2026,Hiring Manager
Johann Sedlmaier GmbH a,Green Building Consultant,Germany,06-04-2026,Hiring Manager
Göstl Bau Sanierung Gmbh & Co.KG a,Design Architect,Germany,06-04-2026,Hiring Manager
UNISAN Gesellschaft für Malerei- und Betonsanierung mbH a,Junior Architect,Germany,06-04-2026,Hiring Manager
ROPP GmbH | Sanierungen & Renovierung a,Environmental Design Specialist,Germany,06-04-2026,Hiring Manager
Ausbau Härtel a,Architectural Consultant,Germany,06-04-2026,Hiring Manager
Ingenieurbüro München Instandsetzung Sanierung Tiefgaragensanierung Coskun & Kollegen a,Architect,Germany,06-04-2026,Hiring Manager
MEAC - MUNICH ENGINEERING AND CONSULTING GMBH a,Sustainable Architect,Germany,06-04-2026,Hiring Manager
Dorsch Engineers GmbH a,Project Architect,Germany,06-04-2026,Hiring Manager
IB WEISS a,Architectural Designer,Germany,06-04-2026,Hiring Manager
Statica GmbH a,Urban Designer,Germany,06-04-2026,Hiring Manager
immobau projekt GmbH a,Green Building Consultant,Germany,06-04-2026,Hiring Manager
CONTRACTOR Consulting GmbH a,Design Architect,Germany,06-04-2026,Hiring Manager
sfirion AG b,Junior Architect,Germany,06-04-2026,Hiring Manager
Jakob Riedmaier Erdbewegungen GmbH a,Environmental Design Specialist,Germany,06-04-2026,Hiring Manager
Bockermann Fritze plan4buildING GmbH - NL München a,Architectural Consultant,Germany,06-04-2026,Hiring Manager
Bockermann Fritze plan4buildING GmbH - NL München b,Architect,Germany,06-04-2026,Hiring Manager
Immobilien Sanierung München / BLEND a,Sustainable Architect,Germany,06-04-2026,Hiring Manager
Fröschl Elektro Consulting GmbH a,Project Architect,Germany,06-04-2026,Hiring Manager
Fröschl Elektro Consulting GmbH b,Architectural Designer,Germany,06-04-2026,Hiring Manager
Pfleiderer Bau GmbH a,Urban Designer,Germany,06-04-2026,Hiring Manager
Hitzler Ingenieure a,Green Building Consultant,Germany,06-04-2026,Hiring Manager
AF Bau GmbH a,Design Architect,Germany,06-04-2026,Hiring Manager
AJG Ingenieure GmbH a,Junior Architect,Germany,06-04-2026,Hiring Manager
AJG Ingenieure GmbH b,Environmental Design Specialist,Germany,06-04-2026,Hiring Manager
SI.CON Projektbau GmbH a,Architectural Consultant,Germany,06-04-2026,Hiring Manager
Schmalfuß & A.M.Kohle a,Architect,Germany,06-04-2026,Hiring Manager
Schmalfuß & A.M.Kohle b,Sustainable Architect,Germany,06-04-2026,Hiring Manager
FMC planen und bauen AG – Frankfurt am Main a,Project Architect,Germany,06-04-2026,Hiring Manager
Frankfurt Construction Management GmbH a,Architectural Designer,Germany,06-04-2026,Hiring Manager
Südwestdeutsche Rohrleitungsbau GmbH a,Urban Designer,Germany,06-04-2026,Hiring Manager
N-K-J a,Green Building Consultant,Germany,06-04-2026,Hiring Manager
Atlas Projects GmbH a,Design Architect,Germany,06-04-2026,Hiring Manager
