company_name,role,country,date,hr_name
OPTITOOL GmbH c,CXM Transformation Lead,Germany,21-04-2026,Hiring Manager
OPTITOOL GmbH d,Customer Experience Manager,Germany,21-04-2026,Hiring Manager
Eibl-IT GmbH a,CRM Program Manager,Germany,21-04-2026,Hiring Manager
IN-Solution GmbH a,CX Strategy Lead,Germany,21-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,Contact Center Transformation Lead,Germany,21-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,CX Consultant,Germany,21-04-2026,Hiring Manager
Number42 GmbH a,Digital Transformation Manager (CXM),Germany,21-04-2026,Hiring Manager
Number42 GmbH b,Customer Engagement Manager,Germany,21-04-2026,Hiring Manager
compustore Systems a,CX Operations Lead,Germany,21-04-2026,Hiring Manager
Comsysto Reply GmbH a,CCaaS Program Manager,Germany,21-04-2026,Hiring Manager
8Solutions Internet Service Provider a,CXM Transformation Lead,Germany,21-04-2026,Hiring Manager
8Solutions Internet Service Provider b,Customer Experience Manager,Germany,21-04-2026,Hiring Manager
TM3 Software GmbH b,CRM Program Manager,Germany,21-04-2026,Hiring Manager
