company_name,role,country,date,hr_name
Webdesign Agentur Berlin - Rocket Website GmbH,PAM Architect,Germany,24-04-2026,Hiring Manager
Webdesign Agentur Berlin - Rocket Website GmbH - a,Senior PAM Engineer,Germany,24-04-2026,Hiring Manager
BITSKIN - Berliner WordPress Agentur seit 2004,Cybersecurity Architect,Germany,24-04-2026,Hiring Manager
Webdesign Helden,Identity and Access Management Engineer,Germany,24-04-2026,Hiring Manager
List & Sell GmbH - Webdesign Internet Marketing Agentur Berlin,IAM Engineer,Germany,24-04-2026,Hiring Manager
TECH Codence - #1 SEO Company | Web Design & Development Services,Privileged Access Management Engineer,Germany,24-04-2026,Hiring Manager
LOOP Berlin,Endpoint Security Engineer,Germany,24-04-2026,Hiring Manager
LOOP Berlin - a,Security Architect,Germany,24-04-2026,Hiring Manager
LOOP Berlin - b,Information Security Engineer,Germany,24-04-2026,Hiring Manager
LOOP Berlin - c,CyberArk Engineer,Germany,24-04-2026,Hiring Manager
LOOP Berlin - d,BeyondTrust Engineer,Germany,24-04-2026,Hiring Manager
LOOP Berlin - e,IT Security Consultant,Germany,24-04-2026,Hiring Manager
LOOP Berlin - f,Security Operations Engineer,Germany,24-04-2026,Hiring Manager
