company_name,role,country,date,hr_name
ISD Software und Systeme GmbH a,Solution Architect,Germany,24-04-2026,Hiring Manager
immersight GmbH a,Enterprise Architect,Germany,24-04-2026,Hiring Manager
Axians Infoma GmbH a,Java Architect,Germany,24-04-2026,Hiring Manager
digital ZEIT GmbH a,Technical Architect,Germany,24-04-2026,Hiring Manager
Gerling Consulting GmbH a,Microservices Architect,Germany,24-04-2026,Hiring Manager
Lemonize GmbH a,API Architect,Germany,24-04-2026,Hiring Manager
Metricsiro - Das IT-Systemhaus in Ulm a,Software Architect,Germany,24-04-2026,Hiring Manager
Inworks GmbH a,Cloud Architect,Germany,24-04-2026,Hiring Manager
Inworks GmbH b,Lead Java Developer,Germany,24-04-2026,Hiring Manager
mercatis GmbH a,Backend Architect,Germany,24-04-2026,Hiring Manager
global IT systems GmbH a,Platform Architect,Germany,24-04-2026,Hiring Manager
aurivus GmbH a,Integration Architect,Germany,24-04-2026,Hiring Manager
bll computersysteme GmbH & Co. KG Systemhaus Ulm a,Systems Architect,Germany,24-04-2026,Hiring Manager
alphaQuest GmbH a,Application Architect,Germany,24-04-2026,Hiring Manager
Bortoli IT | Software | Services a,Technology Architect,Germany,24-04-2026,Hiring Manager
IT sure GmbH a,IT Architect,Germany,24-04-2026,Hiring Manager
IT sure GmbH b,Principal Software Engineer,Germany,24-04-2026,Hiring Manager
ATR Software GmbH a,Senior Software Engineer Java,Germany,24-04-2026,Hiring Manager
ProntoWeb GmbH a,Engineering Lead Java,Germany,24-04-2026,Hiring Manager
BS software development GmbH & Co. KG a,Digital Transformation Architect,Germany,24-04-2026,Hiring Manager
BS software development GmbH & Co. KG b,Solution Architect,Germany,24-04-2026,Hiring Manager
GPS Gesellschaft zur Prüfung von Software mbH a,Enterprise Architect,Germany,24-04-2026,Hiring Manager
THiiiNK GmbH a,Java Architect,Germany,24-04-2026,Hiring Manager
MacSystem GmbH a,Technical Architect,Germany,24-04-2026,Hiring Manager
wescaleIT AG a,Microservices Architect,Germany,24-04-2026,Hiring Manager
oput GmbH a,API Architect,Germany,24-04-2026,Hiring Manager
BITE GmbH a,Software Architect,Germany,24-04-2026,Hiring Manager
D9T GmbH a,Cloud Architect,Germany,24-04-2026,Hiring Manager
preeco GmbH a,Lead Java Developer,Germany,24-04-2026,Hiring Manager
Informaticon Deutschland GmbH a,Backend Architect,Germany,24-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG a,Platform Architect,Germany,24-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG b,Integration Architect,Germany,24-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG c,Systems Architect,Germany,24-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG d,Application Architect,Germany,24-04-2026,Hiring Manager
