company_name,role,country,date,hr_name
Bee360 a,Senior Engineering Manager,Germany,06-04-2026,Hiring Manager
Consiliari GmbH a,Director of Engineering,Germany,06-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Head of Engineering,Germany,06-04-2026,Hiring Manager
Compaile Solutions GmbH a,Engineering Manager,Germany,06-04-2026,Hiring Manager
Codelution GmbH a,Senior Technical Program Manager,Germany,06-04-2026,Hiring Manager
Appmond a,Principal Engineer,Germany,06-04-2026,Hiring Manager
Navigate AG a,Staff Engineer (Leadership Track),Germany,06-04-2026,Hiring Manager
cluetec GmbH a,AI Engineering Manager,Germany,06-04-2026,Hiring Manager
cluetec GmbH b,AI Platform Leader,Germany,06-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Cloud Engineering Manager,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Distributed Systems Architect,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Solutions Architect (AWS),Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,VP Engineering (Mid-size firms),Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Product Engineering Leader,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Platform Engineering Manager,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Marketplace Engineering Leader,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Payments Engineering Manager,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Technical Delivery Director,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Engineering Lead – GenAI,Germany,06-04-2026,Hiring Manager
INIT a,Software Development Manager,Germany,06-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Senior Engineering Manager,Germany,06-04-2026,Hiring Manager
ILI.DIGITAL AG a,Director of Engineering,Germany,06-04-2026,Hiring Manager
Schwenk IT GmbH a,Head of Engineering,Germany,06-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Engineering Manager,Germany,06-04-2026,Hiring Manager
NinjaConcept GmbH a,Senior Technical Program Manager,Germany,06-04-2026,Hiring Manager
Industrial Application Software GmbH a,Principal Engineer,Germany,06-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Staff Engineer (Leadership Track),Germany,06-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,AI Engineering Manager,Germany,06-04-2026,Hiring Manager
cosee GmbH a,AI Platform Leader,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Cloud Engineering Manager,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Distributed Systems Architect,Germany,06-04-2026,Hiring Manager
Bolinda Labs GmbH a,Solutions Architect (AWS),Germany,06-04-2026,Hiring Manager
codecare software GmbH a,VP Engineering (Mid-size firms),Germany,06-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Product Engineering Leader,Germany,06-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Platform Engineering Manager,Germany,06-04-2026,Hiring Manager
blink.it a,Marketplace Engineering Leader,Germany,06-04-2026,Hiring Manager
blink.it b,Payments Engineering Manager,Germany,06-04-2026,Hiring Manager
basysKom GmbH a,Technical Delivery Director,Germany,06-04-2026,Hiring Manager
moguru GmbH a,Engineering Lead – GenAI,Germany,06-04-2026,Hiring Manager
moguru GmbH b,Software Development Manager,Germany,06-04-2026,Hiring Manager
moguru GmbH c,Senior Engineering Manager,Germany,06-04-2026,Hiring Manager
projectfacts a,Director of Engineering,Germany,06-04-2026,Hiring Manager
projectfacts b,Head of Engineering,Germany,06-04-2026,Hiring Manager
PROSTEP AG a,Engineering Manager,Germany,06-04-2026,Hiring Manager
PROSTEP AG b,Senior Technical Program Manager,Germany,06-04-2026,Hiring Manager
PROSTEP AG c,Principal Engineer,Germany,06-04-2026,Hiring Manager
PROSTEP AG d,Staff Engineer (Leadership Track),Germany,06-04-2026,Hiring Manager
PROSTEP AG e,AI Engineering Manager,Germany,06-04-2026,Hiring Manager
Cloud Consulting Europe a,AI Platform Leader,Germany,06-04-2026,Hiring Manager
5 POINT AG a,Cloud Engineering Manager,Germany,06-04-2026,Hiring Manager
MTG AG a,Distributed Systems Architect,Germany,06-04-2026,Hiring Manager
Netwise Solutions a,Solutions Architect (AWS),Germany,06-04-2026,Hiring Manager
Spark 5 GmbH a,VP Engineering (Mid-size firms),Germany,06-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,Product Engineering Leader,Germany,06-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Platform Engineering Manager,Germany,06-04-2026,Hiring Manager
PEAK-System Technik GmbH a,Marketplace Engineering Leader,Germany,06-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Payments Engineering Manager,Germany,06-04-2026,Hiring Manager
BidX a,Technical Delivery Director,Germany,06-04-2026,Hiring Manager
ALL4NET GmbH a,Engineering Lead – GenAI,Germany,06-04-2026,Hiring Manager
acoris AG a,Software Development Manager,Germany,06-04-2026,Hiring Manager
acoris AG b,Senior Engineering Manager,Germany,06-04-2026,Hiring Manager
agorate GmbH a,Director of Engineering,Germany,06-04-2026,Hiring Manager
agorate GmbH b,Head of Engineering,Germany,06-04-2026,Hiring Manager
agorate GmbH c,Engineering Manager,Germany,06-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH a,Senior Technical Program Manager,Germany,06-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH b,Principal Engineer,Germany,06-04-2026,Hiring Manager
CircuitByte GmbH a,Staff Engineer (Leadership Track),Germany,06-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,AI Engineering Manager,Germany,06-04-2026,Hiring Manager
Lange IT Solutions a,AI Platform Leader,Germany,06-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Cloud Engineering Manager,Germany,06-04-2026,Hiring Manager
InterSystems GmbH a,Distributed Systems Architect,Germany,06-04-2026,Hiring Manager
PROFI Engineering Systems AG a,Solutions Architect (AWS),Germany,06-04-2026,Hiring Manager
Adiccon GmbH a,VP Engineering (Mid-size firms),Germany,06-04-2026,Hiring Manager
wer denkt was GmbH a,Product Engineering Leader,Germany,06-04-2026,Hiring Manager
wer denkt was GmbH b,Platform Engineering Manager,Germany,06-04-2026,Hiring Manager
wibas GmbH a,Marketplace Engineering Leader,Germany,06-04-2026,Hiring Manager
wibas GmbH b,Payments Engineering Manager,Germany,06-04-2026,Hiring Manager
UMGIS computer science GmbH a,Technical Delivery Director,Germany,06-04-2026,Hiring Manager
