company_name,role,country,date,hr_name
generic.de software technologies AG b,Customer Support Specialist,Germany,24-04-2026,Hiring Manager
arconsis a,Seller Support Associate,Germany,24-04-2026,Hiring Manager
arconsis b,Operations Analyst,Germany,24-04-2026,Hiring Manager
cjt Systemsoftware AG a,Customer Success Associate,Germany,24-04-2026,Hiring Manager
IT-Choice Software GmbH a,E-commerce Operations Executive,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH a,Process Associate,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH b,Support Analyst,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH c,Service Operations Analyst,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH d,Client Support Executive,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH e,Marketplace Operations Specialist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH f,Customer Support Specialist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH g,Seller Support Associate,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH h,Operations Analyst,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH i,Customer Success Associate,Germany,24-04-2026,Hiring Manager
