company_name,role,country,date,hr_name
Vector Informatik GmbH n,Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH o,Multimedia Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH p,Reporter,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH q,News Reporter,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH r,Digital Content Producer,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH s,Video Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH t,Broadcast Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH u,Content Editor,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH v,News Writer,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH w,Social Media Content Producer,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH x,Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH y,Multimedia Journalist,Germany,24-04-2026,Hiring Manager
Vector Informatik GmbH z,Reporter,Germany,24-04-2026,Hiring Manager
