company_name,role,country,date,hr_name
s.a.x. Software GmbH a,Senior Business Analyst,Germany,06-04-2026,Hiring Manager
Consiliari GmbH a,Agile Business Analyst,Germany,06-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Business Process Analyst,Germany,06-04-2026,Hiring Manager
Compaile Solutions GmbH a,UAT Analyst,Germany,06-04-2026,Hiring Manager
emediagroup GmbH a,Requirements Analyst,Germany,06-04-2026,Hiring Manager
Appmond a,Data Analyst,Germany,06-04-2026,Hiring Manager
Navigate AG a,Product Manager Junior,Germany,06-04-2026,Hiring Manager
cluetec GmbH a,Business Consultant,Germany,06-04-2026,Hiring Manager
cluetec GmbH b,Transformation Analyst,Germany,06-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Business Analysis Consultant,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Technical Business Analyst,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Platform Analyst,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Solution Analyst,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Business Analyst,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Senior Business Analyst,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Product Owner,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Functional Consultant,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,IT Business Analyst,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Digital Business Analyst,Germany,06-04-2026,Hiring Manager
INIT a,Product Analyst,Germany,06-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Agile Business Analyst,Germany,06-04-2026,Hiring Manager
ILI.DIGITAL AG a,Business Process Analyst,Germany,06-04-2026,Hiring Manager
Schwenk IT GmbH a,UAT Analyst,Germany,06-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Requirements Analyst,Germany,06-04-2026,Hiring Manager
NinjaConcept GmbH a,Systems Analyst,Germany,06-04-2026,Hiring Manager
Industrial Application Software GmbH a,Data Analyst,Germany,06-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Product Manager Junior,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Business Consultant,Germany,06-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Transformation Analyst,Germany,06-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Business Analysis Consultant,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Agile Business Analyst,Germany,06-04-2026,Hiring Manager
Bolinda Labs GmbH a,Business Process Analyst,Germany,06-04-2026,Hiring Manager
codecare software GmbH a,UAT Analyst,Germany,06-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Requirements Analyst,Germany,06-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Systems Analyst,Germany,06-04-2026,Hiring Manager
blink.it a,Data Analyst,Germany,06-04-2026,Hiring Manager
blink.it b,Product Manager Junior,Germany,06-04-2026,Hiring Manager
basysKom GmbH a,Business Consultant,Germany,06-04-2026,Hiring Manager
moguru GmbH a,Transformation Analyst,Germany,06-04-2026,Hiring Manager
moguru GmbH b,Business Analysis Consultant,Germany,06-04-2026,Hiring Manager
moguru GmbH c,Technical Business Analyst,Germany,06-04-2026,Hiring Manager
projectfacts a,Platform Analyst,Germany,06-04-2026,Hiring Manager
projectfacts b,Solution Analyst,Germany,06-04-2026,Hiring Manager
PROSTEP AG a,Business Analyst,Germany,06-04-2026,Hiring Manager
PROSTEP AG b,Senior Business Analyst,Germany,06-04-2026,Hiring Manager
PROSTEP AG c,Product Owner,Germany,06-04-2026,Hiring Manager
PROSTEP AG d,Functional Consultant,Germany,06-04-2026,Hiring Manager
PROSTEP AG e,IT Business Analyst,Germany,06-04-2026,Hiring Manager
Cloud Consulting Europe a,Digital Business Analyst,Germany,06-04-2026,Hiring Manager
5 POINT AG a,Product Analyst,Germany,06-04-2026,Hiring Manager
