company_name,role,country,date,hr_name
Bee360 a,Talent Acquisition Specialist,Germany,06-04-2026,Hiring Manager
Consiliari GmbH a,HR Recruiter,Germany,06-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
Compaile Solutions GmbH a,Recruitment Specialist,Germany,06-04-2026,Hiring Manager
Codelution GmbH a,HR Executive,Germany,06-04-2026,Hiring Manager
Appmond a,HR Operations Executive,Germany,06-04-2026,Hiring Manager
Navigate AG a,Talent Sourcer,Germany,06-04-2026,Hiring Manager
cluetec GmbH a,Staffing Specialist,Germany,06-04-2026,Hiring Manager
cluetec GmbH b,Recruitment Coordinator,Germany,06-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,HR Analyst,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Talent Acquisition Specialist,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,HR Recruiter,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Recruitment Specialist,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,HR Executive,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,HR Operations Executive,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Talent Sourcer,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Staffing Specialist,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Recruitment Coordinator,Germany,06-04-2026,Hiring Manager
INIT a,HR Analyst,Germany,06-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Talent Acquisition Specialist,Germany,06-04-2026,Hiring Manager
ILI.DIGITAL AG a,HR Recruiter,Germany,06-04-2026,Hiring Manager
Schwenk IT GmbH a,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Recruitment Specialist,Germany,06-04-2026,Hiring Manager
NinjaConcept GmbH a,HR Executive,Germany,06-04-2026,Hiring Manager
Industrial Application Software GmbH a,HR Operations Executive,Germany,06-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Talent Sourcer,Germany,06-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Staffing Specialist,Germany,06-04-2026,Hiring Manager
