company_name,role,country,date,hr_name
Appmond a,IT Service Delivery Manager,Germany,24-04-2026,Hiring Manager
Navigate AG a,ITSM Manager,Germany,24-04-2026,Hiring Manager
cluetec GmbH a,Service Operations Manager,Germany,24-04-2026,Hiring Manager
cluetec GmbH b,IT Operations Manager,Germany,24-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Incident Manager,Germany,24-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Problem Manager,Germany,24-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Change Manager,Germany,24-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Service Desk Manager,Germany,24-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Client Engagement Manager (IT),Germany,24-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,IT Support Manager,Germany,24-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,IT Service Delivery Manager,Germany,24-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Service Operations Manager,Germany,24-04-2026,Hiring Manager
