company_name,role,country,date,hr_name
Zuferi Solutions a,UAT Analyst,Germany,24-04-2026,Hiring Manager
COMPETENZ 24 | Ihr zuverlässiger IT-Partner a,Payments Analyst,Germany,24-04-2026,Hiring Manager
STACKIT GmbH & Co. KG a,QA Analyst,Germany,24-04-2026,Hiring Manager
mec-IT e.K. a,Manual Test Engineer,Germany,24-04-2026,Hiring Manager
IT4smart GmbH a,Software Test Engineer,Germany,24-04-2026,Hiring Manager
Toni Lange Computer Service - TOLCOM a,Banking QA Analyst,Germany,24-04-2026,Hiring Manager
tempmate GmbH Heilbronn a,Payments Testing Analyst,Germany,24-04-2026,Hiring Manager
SAB ENGINEERING Services & Software GmbH a,Business Analyst Testing,Germany,24-04-2026,Hiring Manager
heymeta GmbH a,Test Analyst,Germany,24-04-2026,Hiring Manager
heymeta GmbH b,Functional Tester,Germany,24-04-2026,Hiring Manager
heymeta GmbH c,Quality Assurance Engineer,Germany,24-04-2026,Hiring Manager
heymeta GmbH d,UAT Coordinator,Germany,24-04-2026,Hiring Manager
Bechtle PLM Deutschland a,Reconciliation Analyst,Germany,24-04-2026,Hiring Manager
Engineering ITS a,SQL Data Analyst,Germany,24-04-2026,Hiring Manager
