company_name,role,country,date,hr_name
Future-App a,Technical Sales Engineer,Germany,24-04-2026,Hiring Manager
Mulan IT Solutions a,Pre-Sales Engineer,Germany,24-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Solutions Engineer (Industrial),Germany,24-04-2026,Hiring Manager
IBS Consult a,Sales Engineer (Automation),Germany,24-04-2026,Hiring Manager
IBS Consult b,Commercial Engineer,Germany,24-04-2026,Hiring Manager
ISRA VISION GmbH a,Proposal Engineer,Germany,24-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Bid Engineer,Germany,24-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Tendering Engineer,Germany,24-04-2026,Hiring Manager
Plan Software GmbH a,Estimation Engineer,Germany,24-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Application Engineer,Germany,24-04-2026,Hiring Manager
EUROKEY Software GmbH a,Business Development Engineer (Industrial),Germany,24-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Inside Sales Engineer (Technical),Germany,24-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Product Sales Engineer,Germany,24-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Service Sales Engineer,Germany,24-04-2026,Hiring Manager
