company_name,role,country,date,hr_name
teambits a,Data Scientist,Germany,24-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Machine Learning Engineer,Germany,24-04-2026,Hiring Manager
Future-App a,AI Engineer,Germany,24-04-2026,Hiring Manager
Mulan IT Solutions a,Applied Scientist,Germany,24-04-2026,Hiring Manager
PC-Profis Computer GmbH a,NLP Engineer,Germany,24-04-2026,Hiring Manager
IBS Consult a,Data Science Lead,Germany,24-04-2026,Hiring Manager
IBS Consult b,AI/ML Engineer,Germany,24-04-2026,Hiring Manager
ISRA VISION GmbH a,Analytics Lead,Germany,24-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Research Scientist AI,Germany,24-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Senior Data Scientist,Germany,24-04-2026,Hiring Manager
Plan Software GmbH a,Data Scientist,Germany,24-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Machine Learning Engineer,Germany,24-04-2026,Hiring Manager
EUROKEY Software GmbH a,AI Engineer,Germany,24-04-2026,Hiring Manager
